,Mobile,Rating,Date,Review,Rating_Month,Rating_Year,SentiScore
1,vivo v3,4,23-Apr-17,"Very nice phone. Not for android upgrade lovers... No update of marshmallow... Rest camera, performance everything very nice....",Apr,2017,4
2,vivo v3,2,13-Aug-17,"After one year of usage it gives audio and battery problems. Plus points are it has Good storage, Fast speed, sleek n handy, finger print works really well and no heating issues. I wont recommend this phone to anyone due to poor battery",Aug,2017,4
3,vivo v3,1,19-Apr-17,Many items including 2 vivo mobiles are according to the orders placed and found all items received in very good condition and working satisfactorily. Thanks,Apr,2017,4
4,vivo v3,1,28-Aug-17,Hey be chore sale put fake adds cheeting the people,Aug,2017,2
5,vivo v3,5,02-Aug-18,very good,Aug,2018,4
6,vivo v3,1,28-Nov-17,Vivo v7 liya do hafte baad display break hogi what should i do display worth rs8000,Nov,2017,3
7,vivo v3,1,17-May-18,Good mobile,May,2018,4
8,vivo v3,5,09-Mar-17,Product is very good,Mar,2017,4
9,vivo v3,4,02-Aug-17,nice phone,Aug,2017,4
10,vivo v3,5,31-Mar-17,superb,Mar,2017,4
11,vivo v3,4,03-Mar-17,very nice mobile,Mar,2017,4
12,vivo v3,4,30-Dec-17,ok,Dec,2017,3
13,vivo v3,5,22-Mar-17,This is really awesome phone i would suggest everyone who is planning to buy cell phone the do buy this …,Mar,2017,4
14,vivo v3,4,10-Jan-17,very nice phone,Jan,2017,4
15,vivo v3,1,01-Apr-17,All are good. Battery backup is very poor,Apr,2017,3
16,vivo v3,5,09-Jan-17,Mobile is awesome.....was a gift for my dad..it was a original product fot verified from the vivo store..so Happy and Proud...thank you Amazon...spread smile,Jan,2017,4
17,vivo v3,5,15-Dec-16,As per tag line faster than faster its really a lag free device ..the most best feature is its music in both mode speaker and hands-free....good camera and lots of practically usable features...now after price reduction its nice deal.. :),Dec,2016,4
18,vivo v3,4,06-May-17,"It is working completely fine with my device till date.. Just one thing i am bit disappointed about is the body, which i see has very minor few flaws. Else operating the device is all well and good. Hence 4.",May,2017,4
19,vivo v3,5,31-Jan-17,Good Phone On Budget Price,Jan,2017,4
20,vivo v3,5,31-Jul-17,high price but its good quality.,Jul,2017,4
21,vivo v3,4,26-Jan-17,"Smooth working, super speed, sleek and stylish,",Jan,2017,4
22,vivo v3,4,13-Nov-16,worth deal,Nov,2016,4
23,vivo v3,4,09-Nov-16,good product,Nov,2016,4
24,vivo v3,5,07-Dec-16,good product....but after i buy then pries is decrease!!!!!!!.,Dec,2016,4
25,vivo v3,4,04-Nov-16,fast then faster,Nov,2016,4
26,vivo v3,4,29-Apr-17,good phone,Apr,2017,4
27,vivo v3,4,20-Mar-17,good,Mar,2017,4
28,vivo v3,4,01-Aug-17,ok,Aug,2017,3
29,vivo v3,4,26-Dec-16,Needs regular softwares updates,Dec,2016,3
30,vivo v3,5,20-Nov-16,nice mobile,Nov,2016,4
31,vivo v3,5,23-Dec-16,nice phone,Dec,2016,4
32,vivo v3,2,09-Mar-17,very poor battery life,Mar,2017,2
33,vivo v3,5,17-Sep-17,worth the price,Sep,2017,4
34,vivo v3,3,09-Mar-17,mobile is working fine but there is a issue with the battery of this mobile... it only get charge upto 99% in approx.45 mintutes and not charged upto 100% in next 1:30 hours.... there might be some defect…,Mar,2017,2
35,vivo v3,5,13-Oct-16,excellent,Oct,2016,4
36,vivo v3,1,24-Jan-17,When I got this phone battery was not belongs to vivo company charger it looks like local shop purchase battery,Jan,2017,4
37,vivo v3,4,03-Nov-16,"Everything are just fine,but warranty card is not included in the box",Nov,2016,4
38,vivo v3,5,09-Oct-16,Excellent Mobile I am happy with Amazon who is selling original products,Oct,2016,4
39,vivo v3,5,29-Oct-16,too good,Oct,2016,4
40,vivo v3,4,02-Sep-16,very nice camera quality,Sep,2016,4
41,vivo v3,5,03-Mar-17,good one,Mar,2017,4
