Attribute,,,TFIDF
ab,2,58,2.475748712
able,6,44,9.084766396
absent,1,1,5.298317367
absolute,1,4,3.912023005
accept,1,1,5.298317367
access,1,3,4.199705078
accessible,1,1,5.298317367
accessories,1,1,5.298317367
accidental,4,5,14.75551782
account,1,2,4.605170186
accurate,2,2,9.210340372
ace,1,34,1.771956842
achieve,1,2,4.605170186
act,1,33,1.801809805
active,1,2,4.605170186
actual,1,10,2.995732274
ad,1,92,0.776528789
adapter,3,2,13.81551056
adaptive,1,1,5.298317367
adapts,1,1,5.298317367
add,4,10,11.98292909
adding,1,1,5.298317367
addition,1,4,3.912023005
additional,3,3,12.59911523
address,1,2,4.605170186
addresses,1,1,5.298317367
adjustment,1,1,5.298317367
adventures,1,1,5.298317367
advertise,1,1,5.298317367
advertising,1,1,5.298317367
advisable,1,1,5.298317367
advise,2,2,9.210340372
aesthetics,1,1,5.298317367
afford,1,3,4.199705078
affordable,2,2,9.210340372
afraid,2,2,9.210340372
aha,1,1,5.298317367
airplane,1,1,5.298317367
alert,2,2,9.210340372
alga,1,1,5.298317367
allow,3,4,11.73606902
aluminum,2,2,9.210340372
amateurish,1,1,5.298317367
amazed,3,3,12.59911523
amazes,1,1,5.298317367
amazing,22,18,52.97480339
amazon,37,34,65.56240315
ambled,8,6,28.05246318
Ammamaria,1,1,5.298317367
amount,2,2,9.210340372
ams,2,21,4.507589858
anal,1,1,5.298317367
android,3,18,7.223836826
angle,1,3,4.199705078
angles,2,2,9.210340372
animation,1,1,5.298317367
animations,1,1,5.298317367
animosity,1,1,5.298317367
announced,1,1,5.298317367
annoying,1,3,4.199705078
answer,1,2,4.605170186
answers,1,1,5.298317367
antibody,1,1,5.298317367
anybody,1,1,5.298317367
anyone,3,3,12.59911523
anything,3,3,12.59911523
apple,5,6,17.53278949
apples,1,1,5.298317367
applied,1,2,4.605170186
appreciate,3,4,11.73606902
appreciated,1,1,5.298317367
appreciation,1,1,5.298317367
approx,1,3,4.199705078
are,2,57,2.510532197
area,6,5,22.13327672
areas,3,2,13.81551056
arena,1,1,5.298317367
arose,2,2,9.210340372
arrange,1,1,5.298317367
arrangements,1,1,5.298317367
arrived,1,1,5.298317367
article,1,1,5.298317367
ask,2,8,6.43775165
asked,1,1,5.298317367
asks,1,2,4.605170186
aspect,1,4,3.912023005
aspects,3,3,12.59911523
asphalt,3,5,11.06663836
ass,3,24,6.360790609
associates,1,1,5.298317367
attended,1,1,5.298317367
attention,1,1,5.298317367
attractive,1,1,5.298317367
attracts,1,1,5.298317367
audio,5,3,20.99852539
authenticated,1,1,5.298317367
authorized,1,1,5.298317367
auto,2,7,6.704814435
availability,2,2,9.210340372
available,17,16,42.93738695
average,12,9,37.21311347
aversion,1,1,5.298317367
avg,1,1,5.298317367
awesome,45,36,77.16592926
awful,1,1,5.298317367
back,2,43,3.074234502
background,4,4,15.64809202
backup,11,10,32.95305501
bad,19,19,44.72368936
bag,1,1,5.298317367
ban,1,8,3.218875825
band,1,1,5.298317367
bang,2,3,8.399410156
Bangalore,1,1,5.298317367
banged,1,1,5.298317367
bank,1,3,4.199705078
banking,1,1,5.298317367
banks,1,1,5.298317367
bar,3,4,11.73606902
barring,1,1,5.298317367
based,1,1,5.298317367
basic,3,5,11.06663836
basis,1,1,5.298317367
bass,1,1,5.298317367
batch,2,1,10.59663473
batter,1,78,0.94160854
battery,102,78,96.04407107
be,1,100,0.693147181
bear,1,1,5.298317367
bearing,1,1,5.298317367
beast,13,11,37.70548722
beat,1,10,2.995732274
beats,6,6,21.03934738
beautiful,2,2,9.210340372
beauty,1,1,5.298317367
Bechtel,1,1,5.298317367
become,2,3,8.399410156
becomes,1,1,5.298317367
been,2,2,9.210340372
behave,1,1,5.298317367
behavior,1,1,5.298317367
being,1,1,5.298317367
believe,7,6,24.54590528
bending,1,1,5.298317367
benefits,1,1,5.298317367
Bengali,1,1,5.298317367
bent,2,2,9.210340372
bes,1,59,1.220779923
best,51,57,64.01857103
bet,1,26,2.040220829
beta,1,1,5.298317367
better,23,25,47.82715546
bi,1,60,1.203972804
big,12,15,31.08320599
bigger,3,3,12.59911523
biggest,1,1,5.298317367
birthday,1,1,5.298317367
bit,12,14,31.91112044
biz,1,1,5.298317367
black,6,5,22.13327672
blackberries,1,1,5.298317367
blacking,1,1,5.298317367
blame,1,1,5.298317367
blazing,4,4,15.64809202
blind,1,1,5.298317367
blink,3,2,13.81551056
bloat,3,5,11.06663836
bloats,1,1,5.298317367
bloody,1,1,5.298317367
blown,1,1,5.298317367
blueish,1,1,5.298317367
blues,1,1,5.298317367
blur,1,2,4.605170186
blurred,1,1,5.298317367
board,1,4,3.912023005
boasts,1,1,5.298317367
body,9,11,26.10379884
bogged,1,1,5.298317367
boring,1,1,5.298317367
bother,1,1,5.298317367
bottom,3,3,12.59911523
bought,28,26,57.1261832
box,8,7,26.81925774
bracket,2,2,9.210340372
brags,1,1,5.298317367
brand,13,10,38.94451956
brands,3,2,13.81551056
brave,1,1,5.298317367
break,1,4,3.912023005
breakage,1,1,5.298317367
breaks,1,1,5.298317367
brightness,2,2,9.210340372
brilliant,7,6,24.54590528
bring,2,2,9.210340372
broad,1,1,5.298317367
broke,2,5,7.377758908
broken,3,3,12.59911523
brother,3,3,12.59911523
brought,1,1,5.298317367
browsed,2,2,9.210340372
browsing,2,2,9.210340372
BTW,1,1,5.298317367
buck,1,2,4.605170186
bucks,1,1,5.298317367
budget,7,7,23.46685052
bug,4,3,16.79882031
bugs,1,1,5.298317367
build,9,9,27.9098351
builds,1,1,5.298317367
built,7,9,21.70764952
bulge,1,1,5.298317367
bulky,2,2,9.210340372
bum,1,6,3.506557897
bump,6,5,22.13327672
bumps,1,1,5.298317367
burs,1,2,4.605170186
burst,1,1,5.298317367
butter,1,1,5.298317367
button,7,7,23.46685052
buttons,2,1,10.59663473
buy,58,57,72.80543373
buyer,1,2,4.605170186
buyers,1,1,5.298317367
buying,14,12,39.38775003
c,7,198,0.070352351
cable,7,6,24.54590528
cables,2,1,10.59663473
calibration,1,1,5.298317367
call,23,36,39.44036385
called,7,6,24.54590528
caller,1,1,5.298317367
