Mobile,Rating,Date,Review
Oneplus3,4,23-Dec-16,"Kudos to One Plus...
One of the best android device available across the globe.

Pros:-

Ultra Fast charging
Body texture is awesome
Customization level at its best
Feel good device
Worth paying 28K
Camera quality is superb in day time
Fingerprint is just amazing

Cons:-

In case of 4G LTE, the battery gets discharge very quickly. Only last for 10-12 hours.
One plus needs to work on build updates.They should be frequent. Oxygen wrapper written is good but not the best like other UI's
Headphones are not shipped so one needs to be pay extra 2-3K for the same."
Oneplus3,3,26-Dec-16,"It's almost 4 months I am using it, the service centers are not very supportive , has some battery issues like it stays only for 18-24 hrs even if u don't use it. In speaker mode then voice is very less and u need to keep it in full volume to hear properly and there is a sudden dip in volume once u reach half , Other aspects it's really a good mobile considering the price , no warranty for parts and other things as there is only 10 days replacement warranty. But there is an additional damage warranty for 1 year, very sleek and attractive model."
Oneplus3,5,02-Oct-16,"If you have 30000 rupees and wondering what to buy I can instantly suggest/advise you to buy one plus 3 because this phone is a flagship killer of one plus company because of how great this phone is and actually I am doing this review from one of plus 3 and coming to the ravishing feature of the phone it comes with a 6GB RAM!!!!.... UFF and it includes dash charging or I would like to call it godspeed charge!!! Because I know that the advertising shows that in 30 min it goes from 0 to 60 percent.. I don't know if this is on average but... I swear I have experienced this phone going 0 to 90 percent!!!!! Crazy!! And the cam it included time lapse, manual mode, slow motion mode!! Awesome right... Honestly I don't remember how many mega pixels the camera is but I am sure the front is 8 and back is 16 megapixels( I am really giving it a blind guess) ..... And the back camera kind of protrudes out the back which would be okay if the back cam was in flow with the body of the phone ( not protruding) and the battery is awesome 60 percent of juice is enough to get through the day and the phone is super thin with an aluminum unibody which makes it a little slippery which makes me suggest you a great case for safety and most importantly they don't include earphones which also makes you to buy new earphone or use your old earphone if you are comfortable and that much Goliath RAM is useful for a gamer and it boasts a 64 GB memory with an non-expandable memory.... And it provides dual sim and most important of all the lightning fast fingerprint sensor..... Great innovation... Resulting in much greater phone"
Oneplus3,4,21-Oct-16,"It's one of the best/the best phones available in the market so far if you are not a brand conscious.its a brand of its own created by people.people's choice.unlike any company created brands.only a techie would know what I'm talking about.this is one of the best as of now
Making it simple for you peeps.
Pros
Overall looks. Slim.. excellent elegant.stylish.classy.
Performance never lagged at all.installed more than 80 apps n games.s peed is grt.
Clarity is awesome
Camera is very good not bad at all.
Technically great.

Cons
Didn't find any except.....if at all to say it's slim metallic body is a lil slippery on the move.
Few colors of only icons in the phone are a bit vibrant...ie red n blues
Bottom line excellent excellent phone by all means...trust me I've used Samsung and iPhones.i phone sucks rather. it's way way better than all the phones available in the market till date for the price.j just go for it"
Oneplus3,5,30-Oct-17,"I'm writing this review after one year of ownership, built quality is awesome. You can compare its performance with the horse power of the sports car.
Pros
Camera - crispy shots like dslr (1080p 60fps video is ultra smooth) Manual mode available, stability is awesome.
Screen - it has AMOLED display which you only get with expensive mobiles, difference between normal display and AMOLED is nomal display projects black areas as black pixels and AMOLED turns off the pixels for the black areas to achieve true black. To test this download some wallpaper with full dark background with some subject in the middle now turn off the lights and see it in the dark room, the area which has drak part - pixels won't light up only the subject in other color will be visible. It's saves battery and gives rich display experience.
Fingerprint sensor - it's so quick, it learns and adapts to your fingers when everytime you use them so it can be accurate.
Dash charging - out of charge no worries give it few minutes it won't let you down, one plus 3 got your back always, battery backup also very good.
Ram - you'll get 6 gb of ram, it's like blazing speed.
Cons
There are no such things."
Oneplus3,5,20-Oct-16,"Just what it says in the specs but a little twist ... The 6gb ram is not useable as only 4gb can be useable till now.. there is a root feature to unlock the 6gb ram but battery life may be damaged. But still I don't find any issues with the phone after two weeks .. just love the dash charge ... Love it... Excellent camera ... Thank God I didn't settle for oppo ...
Never settle ????.. Main part doesn't overheat... Although I would have loved a bit of extra battery... But still no issues... Software can be boring but it's completely bloatware free.. unlike Asus or Samsung..
I am completely in love with this phone...????
WiFi direct is old news on this phone but with NFC it's a lot better for banking and visa transactions...
Camera bump is a bother but with the right cover or op covers are just good especially sandstone black... Spigen to has the best covers for op3
The OP3 comes with a screen guard also.. I would suggest not to remove the cover .. believe me it's worth it... Although tempered would not be needed for gorila glass 4.. normal screen guard just feels right... Even though it's not a perfect fit....
So many customising and so much more to add.. Check YouTube for more ideas on this phone....."
Oneplus3,5,01-Jan-17,We Indians are hesitant to buy products from new companies but let me tell you One Plus 3 just impresses us with its features and its cool look ...... 6 GB Ram.... not a joke ... I reckon if you have a budget of 30 k then this is the phone you need to buy . Compare it with other phones ...this phone is far better . Please provide ear phones for one + 3 as we have paid so much for it.
Oneplus3,4,20-Oct-16,"After years of using blackberries and iPhones, I have just migrated into an Android phone now. This is my first Android phone. Actually I had developed an aversion towards Android just becoz the UI of Samsung phones. Now this is an wonderful experience..

1. Though it has been labelled as a flagship killer, my one feel good factor is the user interface. Superb!! Hasslefree and lightening fast.
2. Camera is top class.
3. Battery charging is phenomenal and moderate discharge. I am not a gamer. And I use frequently day in day out. Charging only once a day and it holds for the whole day for me. Zero to sixty in a jiffy say 20 minutes!! Wav!!
4. The cast option is lovely as am playing videos and movies and YouTube directly from phone to my smart TV with ease with out any lacking in the resolution.
5. With even low net speeds the speed of the phone is awesome.

1. My hand developed pain after using for an hour. May be bcoz of my new experience with 5.5"" phone
2. Call quality is OK. Voices in the calls are not clear as other flagship phones
3. Audio playing volume is low. Sound quality no where near the iphone say 5S. The maximum volume is still not enough for me as I am using iPhones earphones.
4. Though rear camera is good, front camera is only 7 out of 10
5. Call quality too 7 out of 10

My verdict:
For half of the price of any flagship phone, advise you not to have any second thought before buying this. Just go for it!!"
Oneplus3,5,29-Oct-17,"I have been searching for a good mobile more than two weeks. I have gone through all mobile reviews and testing. My search end with OnePlus 3, Trust me this is my best smartphone. 6gb RAM, light weight, 5.5 big screen, good battery life, dash charge and 16mp camera is unbeatable with this price tag. I installed many apps very quickly and browsed long time my mobile was not getting heat. Camera/Photo clarity is ultimate. User experience and features are amazing. I recommend you to buy this phone then you will feel awesome.

I was ensured not to buy any kind of heating/hanging/low performance mobile phone because I faced lot of personal problems.

Thank you Amazon and seller for a good product
Delivered within 48 hours with average packing please improve packing quality."
Oneplus3,5,15-Nov-16,"I have been searching for a good mobile more than two weeks. I have gone through all mobile reviews and testing. My search end with OnePlus 3, Trust me this is my best smartphone. 6gb RAM, light weight, 5.5 big screen, good battery life, dash charge and 16mp camera is unbeatable with this price tag. I installed many apps very quickly and browsed long time my mobile was not getting heat. Camera/Photo clarity is ultimate. User experience and features are amazing. I recommend you to buy this phone then you will feel awesome.

I was ensured not to buy any kind of heating/hanging/low performance mobile phone because I faced lot of personal problems.

Thank you Amazon and seller for a good product
Delivered within 48 hours with average packing please improve packing quality."
