Attribute,TFIDF
able,4.344509295
absent,5.298317367
absolute,7.377758908
absorber,5.298317367
accept,9.210340372
accessories,13.81551056
according,5.298317367
account,13.81551056
accounts,10.59663473
accuracy,5.298317367
act,1.832581464
acted,3.912023005
active,7.824046011
activity,10.59663473
adapter,9.210340372
adaptive,5.298317367
added,8.399410156
adding,5.298317367
addition,8.399410156
additional,4.605170186
addresses,5.298317367
advantage,9.210340372
advertisement,5.298317367
advice,5.298317367
advise,8.399410156
advised,5.298317367
affected,5.298317367
affecting,5.298317367
affects,5.298317367
agents,5.298317367
aggressive,13.81551056
agree,5.298317367
ah,3.101092789
aim,3.912023005
air,5.991464547
airfreighting,5.298317367
AL,5.298317367
alarm,9.210340372
alert,5.298317367
alive,5.298317367
allot,5.298317367
allow,5.298317367
alternate,5.298317367
am,0.823310537
amazing,63.24684568
amazon,63.44754184
amazons,5.298317367
ambient,5.298317367
ambled,28.96988242
ambusher,5.298317367
amount,13.81551056
ample,9.210340372
Amritsar,5.298317367
ams,2.465104022
analyzing,5.298317367
android,9.830564282
androids,5.298317367
angle,4.605170186
angles,5.298317367
angry,5.298317367
animation,5.298317367
answer,12.59911523
anyone,19.56011503
anything,25.7510066
aperture,5.298317367
appear,5.298317367
apple,36.87647939
apples,5.298317367
application,13.81551056
applied,5.298317367
apply,5.298317367
appreciable,5.298317367
appreciate,5.298317367
approach,5.298317367
approved,5.298317367
area,8.399410156
areas,5.298317367
arranged,5.298317367
artificial,10.59663473
ask,12.8755033
asked,9.210340372
aspect,11.73606902
aspects,5.298317367
asphalt,5.298317367
assembled,5.298317367
assistance,5.298317367
assistant,5.298317367
assured,5.298317367
attach,5.298317367
attempt,4.605170186
attempts,5.298317367
attention,5.298317367
attractive,9.210340372
audio,32.95305501
august,4.605170186
authorized,5.298317367
auto,13.40962887
available,46.62480898
availed,5.298317367
average,49.21507614
avg,9.210340372
avoid,9.210340372
aware,10.59663473
aweigh,5.298317367
awesome,78.80100294
awesomeness,5.298317367
baa,5.298317367
back,3.765798296
background,24.54590528
backup,43.73388815
bad,43.34302096
Baedeker,5.298317367
bah,5.298317367
banana,5.298317367
bandwidth,5.298317367
bank,29.51103563
banks,5.298317367
bar,7.377758908
bargain,5.298317367
base,4.199705078
based,9.210340372
basic,11.06663836
basis,9.210340372
Bataan,5.298317367
batter,1.386294361
battery,97.72893464
be,0.776528789
beast,23.46685052
beat,3.506557897
beats,16.79882031
beautiful,19.56011503
beauty,5.298317367
becomes,5.298317367
been,5.298317367
behaves,5.298317367
being,9.210340372
believe,18.44439727
benchmark,5.298317367
best,73.0721731
better,65.25155567
bezel,5.298317367
bf,11.73606902
bi,3.280874241
big,30.30874373
bigger,13.81551056
biggest,12.59911523
bike,5.298317367
biometric,5.298317367
birds,5.298317367
bit,32.95429742
black,20.1144433
blacks,5.298317367
blank,5.298317367
blazing,16.79882031
blew,9.210340372
blinking,5.298317367
bloat,7.824046011
blowing,9.210340372
blows,5.298317367
blue,21.03934738
bluer,5.298317367
blurry,9.210340372
board,3.912023005
body,12.59911523
book,11.73606902
bookings,5.298317367
boom,5.298317367
boost,4.605170186
boosts,5.298317367
boot,4.199705078
boring,5.298317367
bottom,25.82215618
bought,56.14492163
box,31.01092789
boy,9.210340372
brand,25.7510066
brands,15.64809202
breach,5.298317367
break,10.05722165
breakage,5.298317367
breaking,9.210340372
breaks,9.210340372
breathtaking,5.298317367
breeze,9.210340372
brief,5.298317367
bright,12.40437116
brightness,33.19991509
brilliant,5.298317367
brings,5.298317367
bro,3.101092789
broadband,5.298317367
broke,12.59911523
brought,9.210340372
browser,5.298317367
bubble,5.298317367
bucket,5.298317367
budget,33.52407217
bug,4.605170186
bugs,5.298317367
build,30.17166496
