,Mobile,Rating,Date,Review,Month,Year,Audio,Battery,Camera,Design,Fingerprint,Memory,OS,Performance,Others
1,Oneplus 6,4,30-Oct-18,after week using one plus i find phone amazing use i wont go spec listing you can get websites i preferred buy even knowing t launched t little upgrades costs k note people using high end Hamsun phones you really hate display compared note SS display joke overall phone great value money originally i one plus t as upgrade i went honor flip kart flip kart however made mess delivery please read flip kart review recently details i cancel phone the next choice using one plus t obviously op one plus features the pleasant surprise definitely large aspect ratio fed screen its inches display still easy hold use one hand mostly being ambled display colors vibrant even sunlight i love using social media pentagram bf whatsoever since longer screen can fit number feeds i also enjoy reading videos full view even notch amazing watch the coolest feature display away physical keys software keys you can use gestures functions take advantage larger full screen swiping bottom middle takes home swiping left right bottom middle takes back swiping bottom middle holding gives recent paps the problem i face using keyboard fast typing it just goes home sometimes can irritating its just getting confused typing gesture go home i think i use swift key keyboard dragging avoid op must improve gesture the OS fast thanks bloat ware free using snapdragon there lag whatsoever pleasure using phone fast charging awesome phone you set even charge half hour get approximately very handy todays fast paced life rear cameras mp mp quite handy use featuring portrait Hoboken modes the front camera also offers decent output mp i loved addition slow motion capture primary camera works well however need bright lighting work well fingerprint face recognition features super fast use its small thoughtful things like option screen lighting dark recognize face unlock makes device compelling one speaker mono functional use its audio via headphones amazing however another welcome addition true dual volt support you can two jig seems running parallel this means people calling jig number re idea Vonda data connection active will able connect both seems can remain g for cash pay i think phone amazing use every day,Oct,2018,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,
2,Oneplus 6,1,11-Oct-18,i purchased phone July today cot less months screen dead cell lower right corner even drop come contact water pressure phone poor protection screen,Oct,2018,,,,Yes,,,,,
3,,1,08-Oct-18, camera mark i used one plus two three years now i bought six now i want buy product time auto restart dis pointed amazon well one plus,Oct,2018,,,Yes,,,,,,
4,,3,15-Nov-18,i bought k keeping mind price k i writing pros cons one plus my one plus current oxygen OS pros speed yes awesome you gonna love it charger its superb excellent mind blowing charge rapidly screen touch overall good buttery cons camera nice paper reality pictures crisp sometime oil paint effect i think main problem image processing so advise everyone update OS battery backup it easily last half day don't play games i don't play games otherwise heavy user hardly hours sound quality sometime shrill full volume camera bumper get scratches don't like now i can say phone doesn't deserve price tag k i bought k fine in one plus oat update plays major role because camera quality battery backup performance last update OS worst reason i didn't update till now so always check reviews updating latest oat update,Nov,2018,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes
5,,3,28-Oct-18,worst product embarrassing customer care amazon exchange policy amazon really horrible bad experience sold product liable post sale service amazon sold defective one plus GB ram GB exchange offer there technician visited certified mobile defective after days exercise approved replacement but update amazon replacement mobile after several chat sessions call team every time customary care person will ask whats issue sir embarrassing now amazon changed color now unable replace mobile insisting refund and refund exchange value old handset amazon account customer use money amazon really horrible purchase actually i appreciate amazon first experience totally disturbing still matter pending see end episode you,Oct,2018,,,,Yes,,Yes,Yes,,
6,,1,12-Sep-18,mobile charger working properly request send new charger,Sep,2018,,Yes,,,,,,,
7,,1,01-Aug-18,the camera quantity bad there post related camera one plus community ,Aug,2018,,,Yes,,,,,,
8,,1,19-Oct-18,didn't expected amazon got refurbished phone price new phone battery backup like hours picture quality good happy device phone getting heated normal usage phone hanging lot big fan one plus long time using one plus one used one plus t one plus t now one plus really happy one sometimes network problem times wife problem sometimes flash work really disappointed amazon one plus didn't expected ,Oct,2018,Yes,Yes,,Yes,,,,,Yes
9,,5,05-Nov-18,the one plus mm headphone socket ya its Wallache you many things charge can use speakers smart watch phone go pro toothbrush laptop vibrator tablet torch lamp mosquito killer enough is enough i want blue tooth ear pods last hours charges cost upwards rs charged least twice day everything one plus excellent mm headphone socket clenched deal,Nov,2018,Yes,Yes,,Yes,,,,,
10,,5,24-Sep-18,awesome picture quality now getting time time updates android pie available now phone working well sound quality i say excellent extra ordinary battery life good quick charging though available battery problem rest depend usage user and yeah imp one new portrait modes available now camera gaming phone just marvelous k video recording slow motion works well phone,Sep,2018,Yes,Yes,Yes,,,,Yes,,
