Attribute,TFIDF
able,11.58612922
absence,9.210340372
absolute,3.688879454
absorbs,5.298317367
accepted,9.210340372
access,3.912023005
accessories,9.210340372
accessory,5.298317367
accidental,5.298317367
accomplished,5.298317367
according,4.605170186
accurate,15.64809202
achieved,5.298317367
action,7.824046011
activated,5.298317367
actual,3.352407217
adapted,5.298317367
adapter,26.81925774
add,6.43775165
added,23.47213803
additional,5.298317367
addressing,5.298317367
adjust,9.210340372
ads,3.688879454
advanced,5.298317367
advantage,5.298317367
advertised,5.298317367
advertisement,5.298317367
advertising,5.298317367
advice,5.298317367
affordable,12.59911523
agent,5.298317367
aggressive,5.298317367
agree,5.298317367
aim,3.912023005
air,20.1144433
album,5.298317367
alert,13.81551056
aligning,5.298317367
allowing,5.298317367
allows,5.298317367
aluminum,5.298317367
am,0.294371061
amazes,5.298317367
amazing,68.62157088
amazon,57.01727283
ambient,5.298317367
ambled,5.298317367
amount,21.03934738
ams,2.407945609
android,12.03972804
angle,4.605170186
angles,5.298317367
animation,23.47213803
annoying,5.298317367
anti,4.605170186
anybody,5.298317367
anyone,9.210340372
anything,18.44439727
anyways,5.298317367
apartment,5.298317367
ape,2.900422094
apparel,5.298317367
appear,7.377758908
appearance,12.59911523
appearing,5.298317367
apple,22.53213077
apples,5.298317367
applicable,10.59663473
application,10.51967369
applications,12.59911523
applied,5.298317367
approx,10.59663473
AR,5.298317367
area,9.210340372
areas,5.298317367
arise,5.298317367
artificial,9.210340372
ask,6.704814435
asked,9.210340372
asking,4.199705078
aspect,4.199705078
aspects,13.81551056
asphalt,9.210340372
ass,2.040220829
assumed,5.298317367
assuming,5.298317367
attached,12.59911523
attempts,15.64809202
attractive,5.298317367
audio,23.46685052
authorized,5.298317367
auto,11.73606902
available,23.46685052
average,27.9098351
avg,5.298317367
avid,5.298317367
awake,5.298317367
awesome,73.98767941
back,9.009049025
background,5.298317367
backup,23.46685052
bad,36.26374032
bag,4.605170186
bang,9.210340372
bank,8.399410156
bargain,5.298317367
base,8.399410156
based,5.298317367
basic,17.53278949
bass,5.298317367
bat,2.02003366
battery,90.22817014
beast,27.9098351
beat,3.912023005
beating,5.298317367
beats,9.210340372
beautiful,9.210340372
beauty,12.59911523
became,12.59911523
become,4.605170186
becomes,5.298317367
becoming,5.298317367
been,5.298317367
beginning,5.298317367
being,9.210340372
believe,21.03934738
Ben,5.298317367
benchmark,5.298317367
benefit,5.298317367
best,69.20583023
bet,2.732983468
beta,5.298317367
betrayed,5.298317367
better,71.73135049
bezel,4.199705078
bezels,9.210340372
big,33.27106467
bigger,23.46685052
biggest,12.59911523
bit,27.33368009
biz,5.298317367
black,17.53278949
blackleg,5.298317367
blaster,5.298317367
blazing,12.59911523
blind,5.298317367
bloat,9.210340372
block,4.605170186
blocked,5.298317367
blowing,9.210340372
blue,35.40763407
bluestocking,5.298317367
blur,3.688879454
blurred,12.59911523
blurry,5.298317367
board,7.824046011
body,9.656627475
bookish,5.298317367
boost,5.298317367
bothering,9.210340372
bothers,5.298317367
bottom,19.56011503
bought,35.53378412
boundaries,5.298317367
box,58.00844187
boxes,9.210340372
boy,5.298317367
bracket,9.210340372
bragging,5.298317367
brand,29.95732274
branded,5.298317367
branding,5.298317367
brands,5.298317367
breaking,12.59911523
breaks,5.298317367
bright,14.97866137
brightens,5.298317367
brightest,5.298317367
brightness,21.03934738
brilliant,8.399410156
bring,8.399410156
bringing,5.298317367
brings,5.298317367
brothers,5.298317367
browsing,9.210340372
buck,4.605170186
bucks,5.298317367
budget,29.95732274
bug,4.605170186
bugs,5.298317367
build,29.95732274
built,25.7510066
bulky,5.298317367
bullet,8.399410156
bullets,5.298317367
buoyed,5.298317367
business,9.210340372
butter,11.06663836
buttery,9.210340372
button,15.64809202
buttons,5.298317367
buy,61.00392568
buying,33.7609286
c,0.070352351
cable,8.399410156
call,18.61482026
callas,5.298317367
called,5.298317367
callers,5.298317367
calling,5.298317367
calls,12.59911523
cam,4.158883083
came,3.566749439
camera,90.27820853
cameras,12.59911523
can,1.237874356
canceled,5.298317367
cant,11.06663836
capable,5.298317367
capacity,19.56011503
capture,14.75551782
captures,5.298317367
capturing,9.210340372
car,7.577185933
carbon,5.298317367
card,30.17166496
care,11.73606902
careful,5.298317367
carry,8.399410156
carrying,5.298317367
case,32.95305501
cases,5.298317367
cash,12.59911523
catch,5.298317367
category,5.298317367
cause,3.912023005
caused,5.298317367
Celsius,10.59663473
censor,5.298317367
center,24.54590528
certain,8.399410156
certified,5.298317367
challenge,5.298317367
chance,5.298317367
change,18.8310271
changed,11.73606902
changes,9.210340372
changing,15.64809202
channel,5.298317367
charge,43.17901138
charged,21.03934738
charger,36.57433932
charges,21.03934738
charging,77.24086146
charm,9.210340372
cheap,14.75551782
cheaper,5.298317367
cheated,5.298317367
cheating,9.210340372
check,23.46685052
checked,5.298317367
checking,5.298317367
cheer,5.298317367
cherry,9.210340372
chi,3.218875825
chin,7.377758908
Chinese,5.298317367
chipped,5.298317367
chitchatting,5.298317367
choice,8.399410156
choices,5.298317367
choosing,5.298317367
chord,5.298317367
Citibank,5.298317367
claiming,9.210340372
claims,5.298317367
Clarence,20.99852539
clarity,12.59911523
clashing,5.298317367
class,16.76203609
classy,9.210340372
clean,11.73606902
cleaning,5.298317367
clear,14.75551782
click,3.688879454
clicked,5.298317367
clicks,16.79882031
clock,4.605170186
clocker,5.298317367
cloning,5.298317367
close,8.399410156
closest,5.298317367
closing,5.298317367
code,5.298317367
collections,5.298317367
color,14.97866137
colorful,5.298317367
colors,18.44439727
come,7.577185933
comes,32.80041611
comfortable,5.298317367
coming,27.9098351
command,5.298317367
comment,4.199705078
comments,12.59911523
commitment,5.298317367
common,5.298317367
communal,5.298317367
community,12.59911523
company,21.03934738
compare,9.631782435
compared,41.44427465
comparing,22.13327672
comparison,12.59911523
compatibility,5.298317367
compensates,5.298317367
competes,5.298317367
competition,5.298317367
competitors,5.298317367
complain,3.352407217
complaining,5.298317367
complains,5.298317367
complaint,11.73606902
complaints,5.298317367
complete,13.40962887
compliments,5.298317367
compromise,5.298317367
compromising,5.298317367
con,2.545931352
concern,12.59911523
condition,11.06663836
conditions,12.59911523
configuration,4.605170186
confused,5.298317367
connect,17.40253256
connected,12.59911523
connectivity,9.210340372
connector,12.59911523
cons,32.64353326
conservations,5.298317367
consider,16.76203609
considering,12.59911523
consistency,5.298317367
consistent,9.210340372
consumes,5.298317367
consuming,5.298317367
contact,8.399410156
contacting,5.298317367
contains,5.298317367
contents,5.298317367
continuer,5.298317367
continuous,3.912023005
convenient,4.605170186
converter,18.44439727
convinced,5.298317367
cool,19.56011503
core,4.605170186
Corilla,5.298317367
corning,5.298317367
correct,4.605170186
cos,2.995732274
cost,27.9098351
costliest,5.298317367
costly,5.298317367
costs,5.298317367
count,3.506557897
counterparts,9.210340372
countries,5.298317367
couple,12.59911523
course,12.59911523
courtesy,5.298317367
cover,25.7510066
coverage,5.298317367
cracked,5.298317367
cracks,5.298317367
crash,4.605170186
crashed,5.298317367
crashes,5.298317367
crashing,5.298317367
create,4.605170186
creates,5.298317367
cricket,5.298317367
crisp,15.64809202
crossed,5.298317367
cud,5.298317367
cum,4.605170186
customer,20.97012591
customers,15.64809202
cutest,5.298317367
cuts,5.298317367
cutting,15.8949521
cyanogen,5.298317367
d,0.12658904
dads,5.298317367
daily,5.298317367
damn,6.704814435
dark,11.06663836
darkness,9.210340372
darning,5.298317367
dash,38.26715213
data,25.7510066
date,14.2815458
day,41.16878904
days,65.97293269
dead,9.210340372
deal,22.53213077
death,5.298317367
DEC,5.298317367
decade,5.298317367
December,5.298317367
decent,25.7510066
decided,9.210340372
decision,14.75551782
decisions,5.298317367
declared,5.298317367
decreased,5.298317367
decreasing,5.298317367
default,9.210340372
defect,11.73606902
defected,5.298317367
defective,9.210340372
defects,5.298317367
deg,8.399410156
degree,10.59663473
delight,5.298317367
deliver,2.465104022
delivered,21.03934738
delivery,35.94878728
demo,5.298317367
dent,4.199705078
department,9.210340372
depends,5.298317367
depressing,5.298317367
depth,12.59911523
descent,5.298317367
described,9.210340372
description,5.298317367
deserve,5.298317367
design,21.03934738
designed,5.298317367
desire,5.298317367
details,12.59911523
detection,9.210340372
deteriorated,5.298317367
device,74.8598955
devices,26.81925774
did,15.64809202
die,4.605170186
difference,11.73606902
differences,5.298317367
different,9.210340372
difficult,4.605170186
difficulties,5.298317367
digest,5.298317367
dim,5.298317367
Dinah,5.298317367
direct,4.605170186
disable,4.605170186
disabled,5.298317367
disappoint,4.815891217
disappointed,39.38775003
disappointing,9.210340372
disappointment,22.13327672
discharge,12.59911523
discharges,10.59663473
discount,13.81551056
dishonest,5.298317367
