,Mobile,Rating,Date,Review,Month,Year,Audio,Battery,Camera,Design,Fingerprint,Memory,OS,Performance,Others
1,oneplus6T,2,04-Nov-18,camera quality unto mark i visited one plus store store representative checked phone compared camera quality demo phone he noticed significant difference two i request amazon replace phone new one evident phone problems,Nov,2018,,,Yes,,,,,,
2,oneplus6T,1,04-Nov-18, the battery lasts max hours major application working upper side screen camera quality poor audio output earphone poor earphone works phone excellent while call unable drop notification window video quality poor compared less price phones i applied replacement going take replacement worst product,Nov,2018,Yes,Yes,Yes,Yes,,,,Yes,Yes
3,oneplus6T,5,04-Nov-18,phone simply superb aspect slow light performance camera outstanding simply go wrong phone,Nov,2018,,,Yes,,,,,Yes,
4,,1,13-Nov-18,one plus t turned utter disappointment i received faulty device tried getting support one plus i received disappointment even calls several mails visit service center i got solution the cherry top lie people service center he connect device laptop software update told updated device i see email id still hows even possible software updated hard reset my device battery drain heating issues along paps crashing its just one plus amazon help either they even connect call technical support department i feel cheated betrayed one plus amazon,Nov,2018,,Yes,,Yes,,,Yes,,
5,,5,06-Nov-18,got delivered just hours order no bad conservations yet fingerprint unlock also good face unlock on time will unlock face data fingerprint works,Nov,2018,,Yes,,,Yes,,,,
6,,1,07-Nov-18,two days back i received t many problems mobile the mobile getting heated camera mode nothing using mobile getting struck i think i got original set mi sure duplicate set please god sake please exchange mobile new one,Nov,2018,,,Yes,,,,,,
7,,5,04-Nov-18,amazing phone just feels good done ham price everything you get pay excellent battery great screen amazing performance smooth OS great camera surprisingly decent audio cool screen unlock ridiculously fast face unlock,Nov,2018,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes
8,,4,08-Nov-18,good build amazing battery life minimum days stand along basic use air tels g network good accessories op site cool phone box packing display fingerprint sensor face recognition good loudspeaker decent c type mm adapter box value money go ,Nov,2018,Yes,Yes,,Yes,Yes,,,,
9,,5,04-Nov-18,the one plus t truly great phone matter price half cost phone XS cutting edge display fingerprint sensor bargain buy year everybody complain display fingerprint scanner slow trust fast phone gets unlocked soon finger touches screen accurate phones smart phone brings screen design notch the one plus t proves cutting edge technology doesn't cost earth bringing display fingerprint scanner tiny notch just k the gorgeous crisp colorful lode display smidgen bigger in smaller chin bottom simply amazing coming camera new night scape low light mode good job eliminating handshake long exposure shots the selfish camera also pretty good portrait mode works advertised overall camera one plus t good use fingerprint sensor night mode display disabled temporarily fades back eve unlocked phone the phone comes screen protector already single bottom firing speaker loud relatively large amount bass phone easily blocked playing game nonplussed alert slider switches silent vibrate ring still brilliant one plus phones always good money offering top specifications well built devices pushing boundaries s possible thats changed one plus t it pushing s possible popular screen design using tiny attractive teardrop notch smaller chin s better phone but introduction cutting edge display fingerprint scanner making work really well little half price phone XS impressive s wireless charging doesn't fancy d face systems looks little plain everything else top notch even software experience excellent pros good battery life great screen excellent performance dualism good camera blue tooth great software tiny notch screen fingerprint sensor alert slider super fast charging battery affordable price relative premium phones last least blazing fast software cons no notification light glass back wireless charging expandable storage,Nov,2018,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,,5,05-Nov-18,issue camera slow motion mode not working home black shade moving left right sound quality good,Nov,2018,Yes,,Yes,,,,,,
11,,5,15-Jan-19,this far best phone i ever used hands flagship specs classy look premium packaging speed need appearance the device looks much similar one plus t upfront got speed orange highlights back carbon finish Clarence branding bottom camera the night mode really captures amazing pictures portrait mode just amazing the low light photography still improved battery with average usage full day data easily lasts unto days the warp charging just amazing takes around muns charge but easily get days charge within muns speed with gigs ram speed question you open high specs games still lag and bragging rights sure overall i really satisfied device feels great part one plus community go get its continuous pursuit speed,Jan,2019,,Yes,Yes,Yes,,Yes,,Yes,
12,,5,04-Nov-18,very nice fantastic pen best smart pen till date awesome camera good battery life,Nov,2018,,Yes,Yes,,,,,,
13,,1,04-Nov-18,they telling comes with strongest back glass first day drop feet height phone got new back shattered glass,Nov,2018,,,,Yes,,,,,
14,,4,05-Nov-18,i like full display picture quality good tempers glass given customers,Nov,2018,,,,Yes,,,,,
15,,5,05-Nov-18,crisp picture quality impact sound impressive battery life makes worthy investment a blind buy plan upgrade one plus others fingerprint sensor face unlock exciting features indispensable all fair deal base variant GB what can u ask mi happy n yes thank amazon on time delivery,Nov,2018,Yes,Yes,,,Yes,Yes,,,
16,,1,12-Nov-18,bought costliest one GB GB model received phone flickering screen screen shows different colors every now battery drains fast phone heats even normal usage i used opt years never faced problem but this one didn't stay even days i request replacement day passed help finally amazon says replacement possible refund possible i hope least refund process goes smooth,Nov,2018,,Yes,,Yes,,Yes,,Yes,
17,,4,14-Jan-18,used close days now overall good phone price point expect much better camera since ass Zeno z also gives similar performance almost less k camera night mode needs improvement capture picture properly may need weeks settings sure please see image uploaded fire tarnished Grey picture without night mode much better this first phone satisfied camera giving stars,Jan,2018,,,Yes,,,,,Yes,Yes
18,,5,04-Nov-18,impressive price point only disappointment absence mm headphone jack had one plus supplied bullets headphone default accessory complete package apple learn else days numbered,Nov,2018,Yes,,,,,,,,Yes
19,,4,11-Jan-19,picture quality good battery life decent sound quality okay its beast regards considering price flagship killer tag you may miss notification led mm audio jack the screen fingerprint reader cool feature surely feels first gen smooth feature it just gives feeling buying finished product work progress kind thing not many things complaint since give good specifications decent price longer flagship killer stay one plus may well new apple id hate see happen business profit after all it always community but i see get run budget phones competition maintain quality,Jan,2019,Yes,Yes,,Yes,Yes,,,Yes,Yes
20,,4,04-Dec-18,i received order time thanks amazon delivered right time now coming phone experience know pol like one plus user interface yea oxygen OS feels buttery smooth lag bloat ware clean faster stock android performance awesome doubt display unto mark like i comparing Hamsun displays previous generation phone i one plus t already using fa last years phone display feels premium vibrant one one plus t like brightness one plus t equal brightness one plus t still display good another con headphone jack keep trolling phone fa removing headphone jack last year used headphone jack key marketing fa selling phones us countries now headphone jack really ridiculous okay use sub c headphone connector use home comfortable gaming phone pocket traveling like gotta spend k k fa wireless build quality good course feels premium especially one i thunder purple feels premium battery life awesome lasted hours screen time hours playing pub hour chitchatting browsing g almost time yea ll miss led notification light compromise built quality like earpieces grill seem tray looks feels cheap material like plastic stereo speakers two sound grills yea kills phones performance includes Hamsun note price half price performance go fa phone thermal heat management good,Dec,2018,Yes,Yes,,Yes,,,Yes,Yes,Yes
