Mobile,Rating,Date,Review,Month,Year,Audio,Battery,Camera,Design,Fingerprint,Memory,OS,Performance,Others
vivo v5+,5,25-Jan-18,i compared phone Motorola red mi GB ram GB storage phones phone awesome without hesitation front camera awesome giving phone battery good bought OS update already available phone,Jan,2018,,Yes,Yes,,,Yes,Yes,,
vivo v5+,1,27-Oct-17,touch phone working properly defective product delivered i want return phone,Oct,2017,,,,Yes,,,,,
vivo v5+,4,16-May-18,i writing review using mobile members very good product i happy mobile battery backup good and performance also good finger print sensor working fast finally i wanna conclude good one buy,May,2018,,Yes,,,Yes,,,Yes,
vivo v5+,1,29-Jan-18,the phone heating issue just want replace product vivo plus so please arrange discussion executive also,Jan,2018,,Yes,,,,,,,
vivo v5+,4,10-Nov-18,brought hangman enterprises Andra Pradesh the seller good even sent free gift GB pen drive unexpectedly about phone screen gorilla lively however fast charging impressive even original charger charge delivered map,Nov,2018,,Yes,,Yes,,Yes,,Yes,
vivo v5+,4,25-Sep-17,good mobile OK must buy good delivery next day th amazon,Sep,2017,,,,,,,,,
vivo v5+,3,24-Jan-18,this device infra raid external memory support,Jan,2018,,,,Yes,,Yes,,,
vivo v5+,4,28-Feb-18,mobile vivo v plus good performances camera picture zoom normalizes good please camera update pixel zoom compeer poop f plus camera performance pixel zoom good next good Delmarva amazon thank,Feb,2018,,,Yes,,,,Yes,Yes,
vivo v5+,1,28-Jan-18,today i received new vivo v plus mobile speaker working its st day new mobile also key pads touch problem,Jan,2018,Yes,,,Yes,,,,,
vivo v5+,4,01-Dec-17,except battery backup everything fine would like know register data bundled offer comes vivo v,Dec,2017,,Yes,,,,,,,
vivo v5+,4,24-Feb-18,vivo v plus meet expectations user multi window function Hoboken superb function like ,Feb,2018,,,,,,,,,
vivo v5+,5,14-Dec-17,average,Dec,2017,,,,,,,,,
vivo v5+,5,12-Nov-17,camera really good price ,Nov,2017,,,Yes,,,,,,Yes
vivo v5+,3,16-Jan-18,this mobile voodoo month display working i clean warranty,Jan,2018,,,,Yes,,,,,Yes
vivo v5+,3,19-May-18,good looking mobile specs worse red mi look wise similar apple,May,2018,,,,Yes,,,,,
vivo v5+,4,26-Jan-18,awesome experience its month now phone works perfectly fine great camera many features,Jan,2018,,,Yes,,,,,,
vivo v5+,4,01-Nov-18,booked mobile months analyzing similar models happy use ,Nov,2018,,,,Yes,,,,,
vivo v5+,5,07-Aug-18,best mobile,Aug,2018,,,,,,,,,
vivo v5+,4,13-Feb-18,good phone expandable memory SD card,Feb,2018,,,,,,Yes,,,
vivo v5+,4,26-Mar-18,nice,Mar,2018,,,,,,,,,
vivo v5+,5,02-Feb-18,excellent mobile price range camera features good multi pap management good,Feb,2018,,,Yes,,,,,,Yes
vivo v5+,5,16-Sep-18,nice amazing very good battery life price best,Sep,2018,,Yes,,,,,,,Yes
vivo v5+,5,02-Sep-18,best mobile,Sep,2018,,,,,,,,,
vivo v5+,4,20-Oct-18,nice phone lot features good deal,Oct,2018,,,,,,,,,
vivo v5+,5,29-Oct-18,value money,Oct,2018,,,,,,,,,
vivo v5+,5,25-Jan-18, happy product,Jan,2018,,,,,,,,,
vivo v5+,5,12-Nov-17, good performance,Nov,2017,,,,,,,,Yes,
vivo v5+,4,18-Jun-18,good,Jun,2018,,,,,,,,,
vivo v5+,4,29-Jan-18,the phone nice just delivery took time deliver product,Jan,2018,,,,,,,,,
vivo v5+,5,30-Oct-18,hello,Oct,2018,,,,,,,,,
vivo v5+,5,01-Mar-18,good phone worth Presbyterianism life good,Mar,2018,,Yes,,,,,,,
vivo v5+,5,26-Jan-18,very good mobile will best working Hamsun another phone,Jan,2018,,,,,,,,,
vivo v5+,5,29-Oct-18,good phone,Oct,2018,,,,,,,,,
vivo v5+,4,27-Nov-17, nice phone,Nov,2017,,,,,,,,,
vivo v5+,5,08-Nov-18,beautiful phone superior camera ,Nov,2018,,,Yes,,,,,,
vivo v5+,5,14-Feb-18,excellent product i m happy camera excellent,Feb,2018,,,Yes,,,,,,
vivo v5+,5,25-Dec-17,phone nice got hidden extra cash back offers ,Dec,2017,,,,,,,,,
vivo v5+,5,28-Oct-17, much satisfied product delivery also excellent PC,Oct,2017,,,,,,,,,
vivo v5+,5,03-Feb-18,front camera nice click good mobile phone,Feb,2018,,,Yes,,,,,,
vivo v5+,2,11-Aug-18,its Mic nonfunctional months,Aug,2018,,,,,,,,,
vivo v5+,5,10-Nov-18,nice,Nov,2018,,,,,,,,,
vivo v5+,5,28-Jan-18,good phone,Jan,2018,,,,,,,,,
vivo v5+,5,03-Feb-18, good,Feb,2018,,,,,,,,,
vivo v5+,5,20-Mar-18,nice,Mar,2018,,,,,,,,,
vivo v5+,3,27-Jan-18,phone awesome but battery sustain low time,Jan,2018,,Yes,,,,,,,
vivo v5+,5,01-Nov-18,good,Nov,2018,,,,,,,,,
vivo v5+,5,12-Jul-18,good one,Jul,2018,,,,,,,,,
vivo v5+,5,12-Aug-18,happy buy using last year,Aug,2018,,,,,,,,,
vivo v5+,1,26-Mar-18,phone overheating charging,Mar,2018,,Yes,,,,,,,
vivo v5+,5,24-Jan-18,super performance super selfish camera,Jan,2018,,,Yes,,,,,Yes,
vivo v5+,4,30-Oct-18,good product,Oct,2018,,,,,,,,,
vivo v5+,4,23-Oct-18,good,Oct,2018,,,,,,,,,
vivo v5+,1,02-May-18,worst product seller,May,2018,,,,,,,,,
vivo v5+,2,10-Nov-17,good,Nov,2017,,,,,,,,,
vivo v5+,5,17-Feb-18,till today swam work,Feb,2018,,,,,,,,,
vivo v5+,5,11-Jul-18,excellent,Jul,2018,,,,,,,,,
vivo v5+,4,15-Dec-17,good phone delivery time,Dec,2017,,,,,,,,,
vivo v5+,5,10-May-18,mast,May,2018,,,,,,,,,
vivo v5+,5,07-Mar-18,super phone,Mar,2018,,,,,,,,Yes,
vivo v5+,5,02-Mar-18,good phone,Mar,2018,,,,,,,,,
vivo v5+,1,10-Feb-18, good,Feb,2018,,,,,,,,,
vivo v5+,5,28-Oct-17,super,Oct,2017,,,,,,,,Yes,
vivo v5+,5,22-Oct-17,vivo v plus good mobile brilliant performance camera fast charging system very sharp display minute mobile charging days battery performance good function low power mode power saving mode compact size inch display very nice performance proses or all good filling v plus,Oct,2017,,Yes,Yes,Yes,,,Yes,Yes,
vivo v5+,5,19-Oct-17,received product next great prime faced delivery problem rude talking apology amazon even writing delivery review about product pros good display color vibrant time eye protection mode helpful performance good lagging due GB ram snapdragon recontact processor battery good last day normal use heavy use can last day charging fast takes minutes full charge fun touch interface good front dual camera best rear camera also good built quality good gorilla glass protection calling quality good clear finger prints censor fast sound quality good speaker well ear phones Fifi sound nougat update available oat cons external storage GB enough NFC Ir blaster pricing higher side k,Oct,2017,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
vivo v5+,1,29-Dec-17,dabbed mobile even pap twin feature available k range phone do dual rear camera also health pap average quality speakers in summary except selfish nothing mobile,Dec,2017,,,Yes,,,,,,
vivo v5+,1,28-Jan-18,when received phone till date i satisfied due phone hang waiting reset after one hour manually reset phone worked also received invoice copy till date,Jan,2018,,,,,,,,Yes,
vivo v5+,5,17-Oct-17,good stylish mobile mi happy,Oct,2017,,,,,,,,,
vivo v5+,5,27-Oct-17,yes this phone amazing display full hf awesome music camera battery also lasts easily hrs touch also smooth sensitive never hangs lags performance my last phone Giorgione SS good touch sensitivity i unable play smash cricket game i started playing game without problems,Oct,2017,Yes,Yes,Yes,Yes,,,,Yes,
vivo v5+,4,09-Oct-17,battery good discharge orphanhood please r u replacing when new phone alarm set phone alarm set m one used please replacement new phone,Oct,2017,,Yes,,,,,,,
vivo v5+,3,01-Feb-18,don't know say i using phone since days already ram problems slowness aka phone hanging my last vivo v phone working fine i wanted expectations smart phone sadly disappointed one ,Feb,2018,,,,,,Yes,,,
vivo v5+,5,27-Oct-17,i love phone i suggested many people buy phone vivo v plus expectations beyond superb enjoining phone,Oct,2017,,,,,,,,,
vivo v5+,2,04-Feb-18,everything good nice camera well designed good looking by battery backup poor without INTERNET using day battery backup if u using INTERNET standby mode at least need charging evening hour backup ,Feb,2018,,Yes,Yes,Yes,,,,,
vivo v5+,1,31-Jan-18,when connected laptop PC show model why is vivo v plus duplicate model need explanation amazon hanging problem heating problem etc,Jan,2018,,Yes,,,,,,,
vivo v5+,4,31-Oct-17,good performance i liked eye protection feature good music i happy camera quality,Oct,2017,Yes,,Yes,,,,,Yes,
vivo v5+,3,12-Nov-17,rear camera poor not mega pixel like mega pixel vivo cheating Indian peoples they selling mobiles high prices,Nov,2017,,,Yes,,,,,,
vivo v5+,5,16-Oct-17,excellent phone superb back front camera excellent battery value money,Oct,2017,,Yes,Yes,,,,,,
vivo v5+,5,30-Nov-17, good mobile,Nov,2017,,,,,,,,,
vivo v5+,4,19-Oct-17,phone nice but give pay balance promised order,Oct,2017,,,,,,,,,
vivo v5+,5,05-Oct-17,loved ,Oct,2017,,,,,,,,,
vivo v5+,4,22-Nov-17,good product delivery good,Nov,2017,,,,,,,,,
vivo v5+,3,18-Oct-17,i ,Oct,2017,,,,,,,,,
vivo v5+,4,17-Oct-17, good phone,Oct,2017,,,,,,,,,
vivo v5+,5,18-Sep-17,good,Sep,2017,,,,,,,,,
vivo v5+,4,15-Nov-17,i using vivo v months now battery backup good no heating issues from charge muns turbo charger quality photos great front rear cameras with GB ram can download GB movie muns bps speed you will really like sleek design hold phone hand you can go ahead phone budget k however vivo v overpriced you can blindly buy get offer k all best,Nov,2017,,Yes,Yes,Yes,,Yes,,Yes,Yes
vivo v5+,1,12-Dec-17, month cant get back refund money i naught vivo v plus mobile three months cash back offer help Fahd debit card,Dec,2017,,,,,,Yes,,,
vivo v5+,1,29-Oct-17,defective product,Oct,2017,,,,,,,,,
vivo v5+,5,05-Nov-17,bought phone months back used quite time now write review this best phone used several phones nosy ht moot etc ranging k but satisfaction get device ultimate best class product a five star rating battery front camera fun touch OS superb phone i know people write anything bad product do think twice best part heating like devices used never hung till now dropped many times no issues till now,Nov,2017,,Yes,Yes,Yes,,,Yes,,
