Mobile,Rating,Date,Review
vivo v5+,5,25-Jan-18,"I have compared this phone with lenovo,motorola, and redmi 4GB RAM and 64 GB Storage phones and in all of them this phone is awsome..go for it without any hesitation. front camera is awsome. i am giving 5 out of 5 to this phone. battery is good. the nought OS update is already available
for this phone."
vivo v5+,1,27-Oct-17,Touch of the phone is not working properly defective product delivered I want to return the phone
vivo v5+,4,16-May-18,"I am writing this review after using this mobile for 4 members. Very good product, I am happy with this mobile. Battery backup is very good. And performance also good. Finger print sensor is working very fast. Finally I wanna conclude with good one to buy."
vivo v5+,1,29-Jan-18,The phone is having a heating issue..so i just want to replace my product with vivo v7plus... So please arrange the discussion with your executive also…
vivo v5+,4,10-Nov-18,"Brought it from Hanuman Enterprises (Andhra Pardesh). The seller was too good, even sent me free gift of 16GB pen drive unexpectedly.
About the Phone
Screen is Gorilla 5 and lively. However fast charging is not impressive as with even original charger the charge delivered was only 800map."
vivo v5+,4,25-Sep-17,Good mobile all ok must buy good delivery next day thx. AMAZON..
vivo v5+,3,24-Jan-18,This device have no infraraid and no external memory support
vivo v5+,4,28-Feb-18,"mobile vivo v5 plus very good performances but camera picture zoom normal,prosses is good ,please camera update in pixel zoom, compere oppo f3 plus camera performance and pixel zoom very good,next good delevary in Amazon thank"
vivo v5+,1,28-Jan-18,"Today I received my new Vivo v5 plus mobile, but speaker not working . It's 1st day of new mobile also key pads (touch) problem."
vivo v5+,4,01-Dec-17,except battery backup everything is fine.....i wouldlike to know about how to register for data bundled offer which comes with this vivo v5
vivo v5+,4,24-Feb-18,"Vivo V5 Plus meet about all expectations of a user. Multi window function and bokeh superb function.
i like this"
vivo v5+,5,14-Dec-17,Average
vivo v5+,5,12-Nov-17,Camera is reAlly good but price is more
vivo v5+,3,16-Jan-18,"This mobile is vvgood, but with in 1month the display not working, then I clean in warranty."
vivo v5+,3,19-May-18,Good looking mobile but specs is worse than Redmi. Look wise very similar to apple
vivo v5+,4,26-Jan-18,"Awesome experience. It's been a month now..and the phone works perfectly fine.
Great camera, many features."
vivo v5+,4,01-Nov-18,Booked this mobile after 6 months of analysing with other similar models. Happy to use this
vivo v5+,5,07-Aug-18,Best mobile
vivo v5+,4,13-Feb-18,Good phone but no expandable memory with sd card
vivo v5+,4,26-Mar-18,nice
vivo v5+,5,02-Feb-18,"Excellent mobile for price range
Camera features good
Multi app management is good"
vivo v5+,5,16-Sep-18,"Nice and amazing... Very good battery life
Price at its best"
vivo v5+,5,02-Sep-18,Best mobile
vivo v5+,4,20-Oct-18,"Nice Phone with lot features, good deal"
vivo v5+,5,29-Oct-18,value for money
vivo v5+,5,25-Jan-18,very very happy with the product
vivo v5+,5,12-Nov-17,very good performance
vivo v5+,4,18-Jun-18,good
vivo v5+,4,29-Jan-18,The phone was very nice.. Just that the delivery took time to deliver the product.
vivo v5+,5,30-Oct-18,hello
vivo v5+,5,01-Mar-18,"good phone..worth the price..camera,battery life very good"
vivo v5+,5,26-Jan-18,Very very good mobile it will be best working to Samsung another phone
vivo v5+,5,29-Oct-18,good phone
vivo v5+,4,27-Nov-17,very nice phone
vivo v5+,5,08-Nov-18,Beautiful phone with superior camera 
vivo v5+,5,14-Feb-18,Excellent product..... I m very happy . Camera is excellent.
vivo v5+,5,25-Dec-17,"Phone is very nice
Got 2 hidden extra cashback offers too"
vivo v5+,5,28-Oct-17,very much satisfied with the product and delivery also. excellent pc.
vivo v5+,5,03-Feb-18,front camera nice click good mobile phone
vivo v5+,2,11-Aug-18,It's mic nonfunctional in few months
vivo v5+,5,10-Nov-18,nice
vivo v5+,5,28-Jan-18,good phone
vivo v5+,5,03-Feb-18,very good
vivo v5+,5,20-Mar-18,nice
vivo v5+,3,27-Jan-18,Phone is awesome... But battery sustain for low time
vivo v5+,5,01-Nov-18,good
vivo v5+,5,12-Jul-18,good one
vivo v5+,5,12-Aug-18,Happy to buy using from last 1 year
vivo v5+,1,26-Mar-18,Phone is overheating while charging
vivo v5+,5,24-Jan-18,super performance super selfie camera
vivo v5+,4,30-Oct-18,good product
vivo v5+,4,23-Oct-18,good
vivo v5+,1,02-May-18,worst product by the seller
vivo v5+,2,10-Nov-17,good
vivo v5+,5,17-Feb-18,Till today awsm work…
vivo v5+,5,11-Jul-18,excellent
vivo v5+,4,15-Dec-17,good phone delivery at time
vivo v5+,5,10-May-18,masth
vivo v5+,5,07-Mar-18,super phone
vivo v5+,5,02-Mar-18,good phone
vivo v5+,1,10-Feb-18,not good
vivo v5+,5,28-Oct-17,super
vivo v5+,5,22-Oct-17,"Vivo v5 plus is a very very good mobile and brilliant performance and most camera and fast charging system. Very sharp display and only 45 minute in this mobile charging and 2 days battery performance and good function low power mode and power saving mode. Compact size 5.5 inch display
Very nice performance prosesor..... All over is very good filling in v5 plus."
vivo v5+,5,19-Oct-17,"Received product next great with Prime but faced delivery problem rude talking , no apology from Amazon even after writing delivery review.
About product :- pros
1) Good display but colour vibrant some time but eye protection mode is helpful
2) Performance is good no lagging due to 4gb ram and Snapdragon 625 octacore processor
3) battery is good last more than day in normal use, with very heavy use can last day, charging is fast, takes 90-100 minutes for full charge
4) fun touch interface is good
5) front dual camera is best, rear camera also good
6) built quality good with gorrila glass 5 protection
7) calling quality good it is clear
8) finger prints censor is fast
9) Sound quality is good both on speaker as well as ear phones with hi-fi sound
10) noughat update available through ota
Cons
1) no external storage but 64gb is enough
2) no nfc or ir blaster
3) pricing on higher side it should be below 20k"
vivo v5+,1,29-Dec-17,"Dabba mobile..it doesn't even have App Twin feature which is available in 6k range phone. Do not have dual rear camera. Also does not have any health app. Average quality speakers. In summary, except selfie there is nothing in this mobile."
vivo v5+,1,28-Jan-18,When received phone till date I could not satisfied due to phone hang waiting for reset. After one hour manually reset then phone worked. Also we have not received invoice copy till date
vivo v5+,5,17-Oct-17,good and stylish mobile… im happy
vivo v5+,5,27-Oct-17,Yes 10 on 10. This phone has amazing display full HD. Awesome music and camera. Battery also lasts for easily 36 hrs. Touch is also very smooth and sensitive. Never hangs or lags performance. My last phone gionee s6s was not good in touch sensitivity so I was unable to play smash cricket game but here I am again started playing that game without any problems
vivo v5+,4,09-Oct-17,"Battery not good discharge hafanhoure, please r u replacing. When new phone no alarm set but this phone alarm set 8:30@9:00m some one used please replacement new phone."
vivo v5+,3,01-Feb-18,"Don't know what to say! I have been using this phone since 5-6 days and it already has RAM problems, slowness aka ""phone hanging"".
My last Vivo V3 phone was working fine but I wanted more expectations smartphone, but sadly disappointed with this one.
"
vivo v5+,5,27-Oct-17,I love this phone... I suggested many people to buy this phone. Vivo V5 Plus. Expectations Beyond..... Superb....I am ennyoing with this phone.
vivo v5+,2,04-Feb-18,"Everything is good.. nice camera both....
Well designed and good looking...
Bt battery backup is poor.....
Without internet using all day battery backup....
If u using internet.. on standby mode... Atleast you neend charging in evening...
10 hour backup only"
vivo v5+,1,31-Jan-18,"When connected to laptop or PC it show model no 1611. Why? Is it vivo v5 plus or duplicate model? Need explanation from Amazon. Hanging problem, heating problem, etc"
vivo v5+,4,31-Oct-17,Good performance. I liked most is eye protection feature. Good for music. I am not happy with camera quality.
vivo v5+,3,12-Nov-17,"Rear camera very poor. Not 16 mega pixel, its like 5 mega pixel. VIVO cheating Indian peoples. They selling mobiles heigh prices."
vivo v5+,5,16-Oct-17,Excellent phone with superb back and front camera with excellent battery...value for money!!
vivo v5+,5,30-Nov-17,very good mobile
vivo v5+,4,19-Oct-17,Phone is nice But you not give pay balance that you promised while order
vivo v5+,5,05-Oct-17,loved it
vivo v5+,4,22-Nov-17,good product..but delivery was not good.
vivo v5+,3,18-Oct-17,I am not
vivo v5+,4,17-Oct-17,very good phone
vivo v5+,5,18-Sep-17,good
vivo v5+,4,15-Nov-17,"I have been using Vivo V5+ for 2 months now.
1. Battery backup is good.
2. No heating issues.
3. From 0 to 100% charge in 45mins with turbo charger.
4. Quality of photos are great with both front and rear cameras.
5. With 4GB RAM, you can download an 1GB movie in 5 mins with 40mbps speed.
6. You will really like the Sleek design once you hold the phone in your hand.
You can go ahead for this phone if your budget is between 15 to 20k however vivo v5+ is overpriced. You can blindly buy if you get offer below 15k.
All the Best..."
vivo v5+,1,12-Dec-17,after 3 month i cant get back my refund money. I baught vivo v5 plus mobile before three months against cash back offer with the help of HDFC debit card.
vivo v5+,1,29-Oct-17,defective product
vivo v5+,5,05-Nov-17,"bought this phone 7 months back... Used it for quite some time now to write the review.. This is the best phone i had. Used several phones from sony htc moto etc ranging from 45 k to down.. But the satisfaction i get from this device is ultimate.. Best in class product.. A five star rating for battery, front camera, and fun touch os... Superb phone.. I don't know how people write anything bad about such a product... Do not think twice... Best part is no heating like all other devices i used.. Never hung till now.. Dropped many a times... No issues till now"
vivo v5+,5,10-Nov-17,good
vivo v5+,5,28-Sep-17,"Awesome picture quality ...Happy...
Good for selfies lovers"
vivo v5+,1,03-Sep-17,Very bed & defective product deliver by Amazon
vivo v5+,5,01-Aug-17,awesome phone.. loved it
vivo v5+,4,09-Sep-17,excellent product…
vivo v5+,5,25-Sep-17,good phone
vivo v5+,4,16-Aug-17,superbbb
vivo v5+,5,25-Nov-17,"I Buy a phone of vivo V5 Plus
The cashback is guarnted on visa card payment
I paymented from visa card.
But my cashback is not credited in my account."
