Attributes,TFIDF
ab,2.905409635
able,3.357394759
accessories,5.303304908
according,5.303304908
adapter,5.303304908
advertising,5.303304908
advice,5.303304908
agent,5.303304908
agreed,5.303304908
aide,5.303304908
air,5.303304908
amazing,12.61407786
amazon,28.18398258
amount,5.303304908
android,9.220315455
anyone,5.303304908
APR,5.303304908
assumed,5.303304908
attach,5.303304908
attractive,5.303304908
audio,5.303304908
authorized,5.303304908
availability,5.303304908
available,12.61407786
average,12.61407786
aware,5.303304908
awesome,41.99155659
b,0.678332095
backup,25.79090693
bad,37.2994661
bake,10.60660982
band,5.303304908
battery,47.17731858
become,5.303304908
becoming,5.303304908
believe,9.220315455
best,23.97822821
better,31.14305648
bi,5.808027234
big,10.60660982
bluer,5.303304908
blur,4.204692619
blurred,5.303304908
blurry,5.303304908
body,5.303304908
book,9.220315455
bought,23.50176331
brand,9.220315455
brands,5.303304908
break,5.303304908
brought,5.303304908
budget,9.220315455
build,5.303304908
butter,5.303304908
buy,37.96074279
buying,9.220315455
cable,5.303304908
cables,5.303304908
call,7.387733991
calls,5.303304908
cam,1.432103897
camera,78.47049454
cameras,13.83047318
canard,5.303304908
capacity,9.220315455
Capet,5.303304908
capturing,5.303304908
card,9.220315455
case,10.60660982
cause,5.303304908
center,8.409385239
centers,10.60660982
chaise,5.303304908
change,4.204692619
charge,7.834021094
charger,8.409385239
chargers,9.220315455
charging,21.0234631
cheap,4.610157727
cheapest,5.303304908
check,5.303304908
chi,8.409385239
china,5.303304908
choice,5.303304908
chrome,5.303304908
clarity,9.220315455
class,8.409385239
classy,5.303304908
clear,12.61407786
click,7.834021094
clicked,5.303304908
clicking,5.303304908
color,13.83047318
come,3.917010547
comes,9.220315455
compact,5.303304908
company,15.90991472
compare,4.204692619
compared,9.220315455
comparison,5.303304908
compatible,5.303304908
competitors,5.303304908
complaints,5.303304908
complete,5.303304908
condition,4.610157727
conditions,5.303304908
connecting,5.303304908
connection,5.303304908
contacting,5.303304908
converted,5.303304908
cool,5.303304908
cost,9.220315455
couple,5.303304908
coupons,5.303304908
courier,5.303304908
courtier,5.303304908
cover,5.303304908
cozy,5.303304908
customer,5.303304908
damage,5.303304908
data,12.61407786
date,6.447726733
day,15.00359908
days,18.46933498
deal,9.220315455
December,5.303304908
decent,5.303304908
decision,9.220315455
delivered,5.303304908
delivery,18.46933498
demand,5.303304908
density,5.303304908
description,5.303304908
design,5.303304908
device,20.14436855
devices,5.303304908
die,5.303304908
Dinah,9.220315455
discount,15.90991472
dislike,5.303304908
display,22.16320197
distorted,5.303304908
do,18.00431889
doe,4.610157727
does,5.303304908
doubt,5.303304908
drain,5.303304908
dual,5.303304908
due,5.303304908
dynamic,5.303304908
e,0.10206296
earlier,9.220315455
earphone,4.610157727
