,Mobile,Rating,Date,Review,Rating_Month,Rating_Year,SentiScore
1,vivo v7,5,26-Jul-18,"Mobile features are average,

Battery, Holding, design, usage is fine and very nice even i say its very light in weight
but regarding camera its not worth to buy, picture quality is not good in night,
no rear dual camera, front camera is also not as per expectation.

Rest is up to you, if you want to buy.

Better to go with MI Phones",Jul,2018,4
2,vivo v7,4,23-Jun-18,"Review after a Month's use
Indeed a Camera and Music phone.. Value for money.. Battery back up is Great.. Charging is super fast.. No heating issue till now.. I didn't like the Position of audio jack. Overall for me it was not a bad deal at all as I got it at a very good offer price..??",Jun,2018,4
3,vivo v7,5,21-Jun-18,Such a killer product. Looks premium. Good grip. Best camera in its class. Has the interface of iPhone. Battery lasts longer than other ones in its competitors.,Jun,2018,4
4,vivo v7,4,01-Jul-18,"Sometimes it lags too much
No android update
Slow processing speed
Takes too much time to click potrait images
Front flash is very bad
Blurry image even with front flash on",Jul,2018,2
5,vivo v7,5,06-Aug-18,"A phone with near to perfection. Fully satisfied. Earlier had vivo v3. So it had made me a die hard fan of brand vivo.
Guys you will never regret after buying this from Amazon and using vivo as brand.",Aug,2018,2
6,vivo v7,5,04-Oct-18,Nice product and good quality. Working very well and good quality pictures and very fast,Oct,2018,4
7,vivo v7,5,11-Jun-18,In it's Range best choice,Jun,2018,4
8,vivo v7,4,11-Sep-18,Looking awesome and its easy to use especially camera was good and not worth for head phones and chargers,Sep,2018,4
9,vivo v7,4,28-Feb-18,Nce phone camera is quality is good,Feb,2018,4
10,vivo v7,3,18-Jun-18,Picture quality very low as compared v5 I used that. I was thinking the picture quality would be more clear than V5 but very bad quality I assumed that. Night selfie also very very bad.,Jun,2018,2
11,vivo v7,4,12-Jun-18,"pThe Phone is really good. Sound, Camera, Battery backup all is good and the phone is running smoothly with no lagging issues. And Amazon delivary security is good.",Jun,2018,4
12,vivo v7,5,07-Nov-18,Loved this product but my ego is not. Though the product is super good but still it's made in China ??,Nov,2018,4
13,vivo v7,5,03-Nov-18,"The look is amazing with worth for money product, camera is really good amd processor is also good",Nov,2018,4
14,vivo v7,5,15-Nov-18,Awesome phone but there should be user friendly settings in the phone..This is missing in phone that's why I used to face many problems... Although it's a nice device,Nov,2018,4
15,vivo v7,5,28-Aug-18,Good unit so far. Bought the phone in Apr 2018. Features are good andperformance is good too......,Aug,2018,4
16,vivo v7,5,21-Jun-18,It's ok .. could do better in this money with some other phone,Jun,2018,4
17,vivo v7,5,14-Dec-18,good,Dec,2018,4
18,vivo v7,5,08-Jul-18,Awesome product. . . perfect delivery. . . worth for money. . . everything was perfect . . . .,Jul,2018,4
19,vivo v7,4,15-Jun-18,"Nice phone. Satisfied my expectations. Bought this after used Samsung, having dynamic display with attractive icons. Worth to purchase.",Jun,2018,4
20,vivo v7,2,29-May-18,Phone good but battery backup is 3rd class. When I use phone Battery drain 1% in every 1-2 minute. I'm not satisfied with this vivo v7 mobile phone.,May,2018,4
21,vivo v7,1,03-Jun-18,Don't go for it. The main camera is like vga camera. Waste of money..,Jun,2018,3
22,vivo v7,4,18-Nov-18,Picture quality is excellent,Nov,2018,4
23,vivo v7,4,23-Aug-18,"It's is one of the best smartphone in this price range.
Satisfied with this purchase.",Aug,2018,4
24,vivo v7,3,22-May-18,average,May,2018,3
25,vivo v7,5,27-Dec-18,good one,Dec,2018,4
26,vivo v7,5,03-Aug-18,"It's awesome n cool product, I would recommend everyone can go ahead for purchase.",Aug,2018,4
27,vivo v7,4,08-Nov-18,Only size matter else all is good,Nov,2018,4
28,vivo v7,5,25-Apr-18,Awesome mobile in best price... camera selfie is clear and good settings... back up is no tension…,Apr,2018,4
29,vivo v7,2,07-Jul-18,Not a good mobile don't buy this product not really worth the money and this mobile has no update at all,Jul,2018,4
30,vivo v7,5,30-Jul-18,Nice phone. working seamless from couple of months.,Jul,2018,4
31,vivo v7,5,23-Dec-18,value for money,Dec,2018,3
32,vivo v7,4,08-Dec-18,"Slim lightweight phone,battery life is also good.touch is also very good",Dec,2018,4
33,vivo v7,3,01-Aug-18,Bokeh mode is not Good in compare to Redmi phones.,Aug,2018,4
34,vivo v7,5,26-Oct-18,"Nice Smartphone,
Best Selfie Camera
UI very Friendly
Very Light Weight & Slim",Oct,2018,4
35,vivo v7,4,06-Dec-18,great phone,Dec,2018,4
36,vivo v7,4,21-Jun-18,Vivo V7 phone is very good and camera quality is very good also battery backup is very good…,Jun,2018,4
37,vivo v7,5,07-Nov-18,best price,Nov,2018,4
38,vivo v7,5,22-Jun-18,excellent gadget,Jun,2018,4
39,vivo v7,1,13-May-18,Had issues with phone network connection. Got it replaced at gallery,May,2018,2
40,vivo v7,5,17-Dec-18,good,Dec,2018,4
41,vivo v7,4,14-Feb-18,very nice,Feb,2018,4
42,vivo v7,4,16-Oct-18,I like this mobile totally but I would dislike volume performance,Oct,2018,3
43,vivo v7,3,29-Jun-18,Keypad not compact.touch also not good.,Jun,2018,4
44,vivo v7,5,07-Oct-18,good phone,Oct,2018,4
45,vivo v7,5,13-Jul-18,"its marvellous phone working good,, delivery fast,, thanks amazone",Jul,2018,4
46,vivo v7,5,21-Mar-18,phone is just awesome,Mar,2018,4
47,vivo v7,5,16-Apr-18,nice product…..,Apr,2018,4
48,vivo v7,4,19-May-18,Good phone. But battery capacity can't make better. Price is camaratevely high.,May,2018,4
