Attribute,Term Frequency,Document Frequency,TFIDF,Camera,Battery,Performance,Memory
AA,1,1,5.049856007,0,0,0,0
accepted,1,1,5.049856007,0,0,0,0
according,1,1,5.049856007,1,1,1,0
active,2,3,7.902487437,1,0,0,0
adding,1,1,5.049856007,0,0,0,0
adds,1,1,5.049856007,0,0,0,0
adorable,1,1,5.049856007,0,0,0,0
advanced,1,1,5.049856007,1,1,0,0
afternoon,1,1,5.049856007,0,0,0,0
aim,2,2,8.713417653,0,0,0,1
air,1,2,4.356708827,0,5,0,0
allows,1,1,5.049856007,5,4,0,3
amaze,1,1,5.049856007,0,0,0,0
amazing,11,9,31.37894573,0,0,0,0
amazon,9,7,27.93551272,0,0,0,0
angle,1,1,5.049856007,0,0,0,0
anyone,1,1,5.049856007,2,0,0,0
anything,2,2,8.713417653,0,2,0,0
approx,1,1,5.049856007,0,0,0,0
area,1,1,5.049856007,0,3,1,2
ass,1,3,3.951243719,0,0,0,0
attractive,1,1,5.049856007,0,1,0,0
audio,1,1,5.049856007,0,0,0,0
available,5,5,17.20209047,2,6,4,1
average,9,8,26.73373019,0,2,2,0
avg,1,2,4.356708827,0,0,0,0
awesome,23,16,52.37714756,0,0,0,0
awesomeness,1,1,5.049856007,0,0,0,0
back,1,23,1.914361791,1,2,2,2
backup,14,14,33.75118149,0,2,0,0
bad,2,2,8.713417653,0,0,0,1
band,1,1,5.049856007,0,0,0,0
based,1,1,5.049856007,0,7,5,0
bat,1,36,1.466337069,0,0,0,0
battery,43,36,63.05249396,0,158,0,2
batty,1,1,5.049856007,0,0,0,0
beautiful,2,2,8.713417653,0,0,0,0
become,1,1,5.049856007,0,1,0,1
belongs,1,1,5.049856007,0,0,0,0
best,12,15,28.10166967,0,1,0,0
better,5,7,15.51972929,0,1,4,0
beware,1,1,5.049856007,0,0,0,0
bf,1,1,5.049856007,0,0,0,0
bit,3,3,11.85373116,0,1,3,8
black,1,1,5.049856007,0,0,0,0
blue,1,1,5.049856007,0,0,0,0
body,1,1,5.049856007,0,3,0,0
bought,6,6,19.54857923,0,1,0,0
box,5,3,19.75621859,0,0,1,0
break,1,2,4.356708827,0,0,0,0
breaking,1,1,5.049856007,0,0,0,0
browser,1,1,5.049856007,0,0,0,0
budget,3,3,11.85373116,0,0,0,0
build,1,1,5.049856007,0,0,1,0
bulls,1,1,5.049856007,0,0,0,0
buoyed,1,1,5.049856007,0,0,0,0
buy,20,17,44.33285326,0,0,0,0
buying,3,2,13.07012648,0,0,0,0
bxs,1,1,5.049856007,0,0,0,0
call,1,6,3.258096538,0,1,0,0
calling,2,2,8.713417653,0,0,0,0
camera,42,35,62.76933372,112,0,0,0
cant,1,1,5.049856007,0,0,0,0
card,5,5,17.20209047,3,0,0,0
care,1,3,3.951243719,0,0,0,0
careful,1,1,5.049856007,0,0,0,0
cart,1,1,5.049856007,0,0,0,0
case,2,2,8.713417653,1,3,0,3
catching,1,1,5.049856007,0,0,0,0
category,1,1,5.049856007,0,0,0,1
cell,1,9,2.85263143,9,49,0,4
changed,1,1,5.049856007,1,0,0,0
changing,2,2,8.713417653,0,1,0,1
charge,7,9,19.96842001,0,35,0,0
charged,3,2,13.07012648,0,11,0,0
charger,2,2,8.713417653,0,4,0,0
charging,4,5,13.76167238,0,38,0,0
cheering,1,1,5.049856007,0,0,0,0
china,2,2,8.713417653,0,2,0,0
Chinese,2,2,8.713417653,0,0,0,0
chit,1,1,5.049856007,0,0,0,0
chore,1,1,5.049856007,0,0,0,0
clarity,3,3,11.85373116,0,0,0,0
