"","rating_df.i...Mobile..","rating_df.i...Rating..","rating_df.i...Date..","articles.corpus..1...content","rating_df.i...Rating_Month..","rating_df.i...Rating_Year..","lda.terms..Topic.1..","lda.terms..Topic.2..","lda.terms..Topic.3..","lda.terms..Topic.4..","lda.terms..Topic.5..","lda.terms..Topic.6..","lda.terms..Topic.7..","lda.terms..Topic.8..","lda.terms..Topic.9..","lda.terms..Topic.10.."
"Topic 1","vivo v3",4,"23-Apr-17"," nice phone   android upgrade lovers  update  marshmallow rest camera performance everything  nice","Apr","2017","android","everything","android","marshmallow","rest","nice","android","update","performance","camera"
"Topic 11","vivo v3",2,"13-Aug-17"," one year  usage  gives audio  battery problems plus points    good storage fast speed sleek n handy finger print works really well   heating issues  wont recommend  phone  anyone due  poor battery","Aug","2017","usage","due","plus","anyone","audio","print","gives","battery","really","battery"
"Topic 12","vivo v3",1,"19-Apr-17","many items including  vivo mobiles  according   orders placed  found  items received   good condition  working satisfactorily thanks","Apr","2017","condition","according","items","many","including","according","placed","good","received","according"
"Topic 13","vivo v3",1,"28-Aug-17","hey  chore sale put fake adds cheeting  people","Aug","2017","adds","hey","adds","adds","adds","sale","cheeting","people","adds","adds"
"Topic 14","vivo v3",5,"02-Aug-18"," good","Aug","2018","good","good","good","good","good","good","good","good","good","good"
"Topic 15","vivo v3",1,"28-Nov-17","vivo v liya  hafte baad display break hogi     display worth rs","Nov","2017","worth","break","baad","display","baad","hogi","baad","baad","display","vivo"
"Topic 16","vivo v3",1,"17-May-18","good mobile","May","2018","good","good","good","good","good","good","good","mobile","good","good"
"Topic 17","vivo v3",5,"09-Mar-17","product   good","Mar","2017","good","good","good","good","good","good","good","product","good","good"
"Topic 18","vivo v3",4,"02-Aug-17","nice phone","Aug","2017","nice","nice","nice","nice","nice","nice","nice","phone","nice","nice"
"Topic 19","vivo v3",5,"31-Mar-17","superb","Mar","2017","superb","superb","superb","superb","superb","superb","superb","superb","superb","superb"
"Topic 110","vivo v3",4,"03-Mar-17"," nice mobile","Mar","2017","mobile","mobile","mobile","mobile","mobile","mobile","mobile","nice","mobile","mobile"
"Topic 111","vivo v3",5,"22-Mar-17","  really awesome phone   suggest everyone   planning  buy cell phone   buy  …","Mar","2017","awesome","awesome","phone","phone","awesome","planning","cell","everyone","buy","really"
"Topic 112","vivo v3",4,"10-Jan-17"," nice phone","Jan","2017","nice","nice","nice","nice","nice","nice","nice","phone","nice","nice"
"Topic 113","vivo v3",1,"01-Apr-17","  good battery backup   poor","Apr","2017","backup","backup","good","backup","backup","battery","backup","backup","poor","backup"
"Topic 114","vivo v3",5,"09-Jan-17","mobile  awesomewas  gift   dadit   original product fot verified   vivo storeso happy  proudthank  amazonspread smile","Jan","2017","original","gift","amazonspread","product","mobile","storeso","happy","dadit","verified","amazonspread"
"Topic 115","vivo v3",5,"15-Dec-16"," per tag line faster  faster  really  lag free device   best feature   music   mode speaker  handsfreegood camera  lots  practically usable featuresnow  price reduction  nice deal ","Dec","2016","lag","feature","faster","deal","best","camera","device","price","best","per"
"Topic 116","vivo v3",4,"06-May-17","  working completely fine   device till date just one thing   bit disappointed    body   see   minor  flaws else operating  device   well  good hence ","May","2017","else","just","body","bit","till","date","one","device","completely","good"
