,Mobile,Rating,Date,Review,Rating Month,Rating Year,Audio,Battery,Camera,Design,Fingerprint,Memory,OS,Others
1,vivo v3,4,23-Apr-17, nice phone   android upgrade lovers  update  marshmallow rest camera performance everything  nice,Apr,2017,,,Yes,,,,Yes,
2,vivo v3,2,13-Aug-17, one year  usage  gives audio  battery problems plus points    good storage fast speed sleek n handy finger print works really well   heating issues  wont recommend  phone  anyone due  poor battery,Aug,2017,Yes,Yes,,Yes,Yes,,,
3,vivo v3,1,19-Apr-17,many items including  vivo mobiles  according   orders placed  found  items received   good condition  working satisfactorily thanks,Apr,2017,,,,,,,,
4,vivo v3,1,28-Aug-17,hey  chore sale put fake adds cheeting  people,Aug,2017,,,,,,,,
5,vivo v3,5,02-Aug-18, good,Aug,2018,,,,,,,,
6,vivo v3,1,28-Nov-17,vivo v liya  hafte baad display break hogi     display worth rs,Nov,2017,,,,Yes,,,,
7,vivo v3,1,17-May-18,good mobile,May,2018,,,,,,,,
8,vivo v3,5,09-Mar-17,product   good,Mar,2017,,,,,,,,
9,vivo v3,4,02-Aug-17,nice phone,Aug,2017,,,,,,,,
10,vivo v3,5,31-Mar-17,superb,Mar,2017,,,,,,,,
11,vivo v3,4,03-Mar-17, nice mobile,Mar,2017,,,,,,,,
12,vivo v3,5,22-Mar-17,  really awesome phone   suggest everyone   planning  buy cell phone   buy  …,Mar,2017,,,,,,,,
13,vivo v3,4,10-Jan-17, nice phone,Jan,2017,,,,,,,,
14,vivo v3,1,01-Apr-17,  good battery backup   poor,Apr,2017,,Yes,,,,,,
15,vivo v3,5,09-Jan-17,mobile  awesomewas  gift   dadit   original product fot verified   vivo storeso happy  proudthank  amazonspread smile,Jan,2017,,,,,,,,
16,vivo v3,5,15-Dec-16, per tag line faster  faster  really  lag free device   best feature   music   mode speaker  handsfreegood camera  lots  practically usable featuresnow  price reduction  nice deal ,Dec,2016,Yes,,Yes,Yes,,,,
17,vivo v3,4,06-May-17,  working completely fine   device till date just one thing   bit disappointed    body   see   minor  flaws else operating  device   well  good hence ,May,2017,,,,Yes,,,Yes,
18,vivo v3,5,31-Jan-17,good phone  budget price,Jan,2017,,,,,,,,Yes
19,vivo v3,5,31-Jul-17,high price   good quality,Jul,2017,,,,,,,,Yes
20,vivo v3,4,26-Jan-17,smooth working super speed sleek  stylish,Jan,2017,,,,Yes,,,,
21,vivo v3,4,13-Nov-16,worth deal,Nov,2016,,,,,,,,
22,vivo v3,4,09-Nov-16,good product,Nov,2016,,,,,,,,
23,vivo v3,5,07-Dec-16,good productbut   buy  pries  decrease,Dec,2016,,,,,,,,
24,vivo v3,4,04-Nov-16,fast  faster,Nov,2016,,,,,,,,
25,vivo v3,4,29-Apr-17,good phone,Apr,2017,,,,,,,,
26,vivo v3,4,20-Mar-17,good,Mar,2017,,,,,,,,
