Mobile,Rating,Date,Review
vivo v3,4,23-Apr-17,"Very nice phone. Not for android upgrade lovers... No update of marshmallow... Rest camera, performance everything very nice...."
vivo v3,2,13-Aug-17,"After one year of usage it gives audio and battery problems. Plus points are it has Good storage, Fast speed, sleek n handy, finger print works really well and no heating issues. I wont recommend this phone to anyone due to poor battery"
vivo v3,1,19-Apr-17,Many items including 2 vivo mobiles are according to the orders placed and found all items received in very good condition and working satisfactorily. Thanks
vivo v3,1,28-Aug-17,Hey be chore sale put fake adds cheeting the people
vivo v3,5,02-Aug-18,very good
vivo v3,1,28-Nov-17,Vivo v7 liya do hafte baad display break hogi what should i do display worth rs8000
vivo v3,1,17-May-18,Good mobile
vivo v3,5,09-Mar-17,Product is very good
vivo v3,4,02-Aug-17,nice phone
vivo v3,5,31-Mar-17,superb
vivo v3,4,03-Mar-17,very nice mobile
vivo v3,4,30-Dec-17,ok
vivo v3,5,22-Mar-17,This is really awesome phone i would suggest everyone who is planning to buy cell phone the do buy this …
vivo v3,4,10-Jan-17,very nice phone
vivo v3,1,01-Apr-17,All are good. Battery backup is very poor
vivo v3,5,09-Jan-17,Mobile is awesome.....was a gift for my dad..it was a original product fot verified from the vivo store..so Happy and Proud...thank you Amazon...spread smile
vivo v3,5,15-Dec-16,As per tag line faster than faster its really a lag free device ..the most best feature is its music in both mode speaker and hands-free....good camera and lots of practically usable features...now after price reduction its nice deal.. :)
vivo v3,4,06-May-17,"It is working completely fine with my device till date.. Just one thing i am bit disappointed about is the body, which i see has very minor few flaws. Else operating the device is all well and good. Hence 4."
vivo v3,5,31-Jan-17,Good Phone On Budget Price
vivo v3,5,31-Jul-17,high price but its good quality.
vivo v3,4,26-Jan-17,"Smooth working, super speed, sleek and stylish,"
vivo v3,4,13-Nov-16,worth deal
vivo v3,4,09-Nov-16,good product
vivo v3,5,07-Dec-16,good product....but after i buy then pries is decrease!!!!!!!.
vivo v3,4,04-Nov-16,fast then faster
vivo v3,4,29-Apr-17,good phone
vivo v3,4,20-Mar-17,good
vivo v3,4,01-Aug-17,ok
vivo v3,4,26-Dec-16,Needs regular softwares updates
vivo v3,5,20-Nov-16,nice mobile
vivo v3,5,23-Dec-16,nice phone
vivo v3,2,09-Mar-17,very poor battery life
vivo v3,5,17-Sep-17,worth the price
vivo v3,3,09-Mar-17,mobile is working fine but there is a issue with the battery of this mobile... it only get charge upto 99% in approx.45 mintutes and not charged upto 100% in next 1:30 hours.... there might be some defect…
vivo v3,5,13-Oct-16,excellent
vivo v3,1,24-Jan-17,When I got this phone battery was not belongs to vivo company charger it looks like local shop purchase battery
vivo v3,4,03-Nov-16,"Everything are just fine,but warranty card is not included in the box"
vivo v3,5,09-Oct-16,Excellent Mobile I am happy with Amazon who is selling original products
vivo v3,5,29-Oct-16,too good
vivo v3,4,02-Sep-16,very nice camera quality
vivo v3,5,03-Mar-17,good one
vivo v3,4,01-Dec-16,nice
vivo v3,3,04-Dec-16,good
vivo v3,5,16-Dec-16,Outstanding phone and great amaze they send it carefull and fast
vivo v3,1,14-Apr-17,I need new vivo v3 it's not working properly
vivo v3,5,17-Dec-16,Superb phone it's front camera is also good at night and run high power games without any problem
vivo v3,3,08-Nov-16,Average product not up to mark !
vivo v3,3,14-Oct-16,Good speed not to fast as expected
vivo v3,4,05-Dec-16,Video calling futures not available.
vivo v3,5,10-Dec-16,phone was good
vivo v3,1,27-Apr-18,I havent purchased it from amazon but from a vivo store and the experience has been terrible and the phones keeps on switching off once i charged it for one night but at the morning after useage it switched off there was no charge i was sure it was 100%charged and there are no software updates extremely worst product i ever bought
vivo v3,5,05-Jul-17,Nice mobile vivo is the best company and fecture is very good many new features and cemera is very good and nice product mobile is very sliem and display is quarv it is use the best..... Fecture is the very usefull
vivo v3,1,26-Dec-16,"I have ordered ""vivo v3 32gb gold"" phone. but I got ""lenovo a2020a40"". Box of mobile is vivo but inside the box there is lenovo phone. Also the battery is missing in the box.  Also got wrong charger."
vivo v3,5,02-Nov-16,Nice phone but unfortunately i had to return
vivo v3,5,27-Jan-17,"Gestures,Processing and UI are so much good that u get more smarter phone.....so stop wandering and thumbs up to Vivo V3"
vivo v3,4,04-Nov-16,Very nice and powerful phone loaded with good quality camera and attractive design.Very good buy.Thanks Amazone for great packing and undamaged delivery realy fast.
vivo v3,5,28-Aug-17,"I love my VIVO V3.. Ever since I purchased it, I feel lost if my phone is not with me.. It has all the features, that I was looking for.. It's nearly 2 years but I don't feel like changing it.. I got more than I spent for this piece.. Thanks to VIVO.."
vivo v3,5,01-Dec-16,Nice Phone and everyone have to try this for sure !! Everything is best nothing to complaint about it as concern to my usage and lifestyle.. It meets your all angle…
vivo v3,4,06-Nov-16,Best phone st this price. I purchased this in lightening deal for Rs. 13200/- .
vivo v3,3,06-Jul-16,After 1year of use fully satisfied thé caméra is awesome 600 Snapdragon is good enough with 3gb ram to handle any app & os is also Smooth . Only battery is dissapointment reason very average life 3to4 hours on moderate use White clicking pictures battery drain in les than jours time. That the reason gave 3 star
vivo v3,5,24-Jan-18,Vivo v3 is best phone after using continusley and playing games it doesnot heat up battery backup is fast but after 2 year there is little bit battery issue which is normal as compare to other smartphone after changing battey it works fine
vivo v3,5,19-Dec-16,Nice and super phone when i am using this mobile i am wonder about that features and as well as its battery backup finally i loved it more and more then my old mobile
vivo v3,4,27-Jun-16,Im writing after 6 months of use . Phone Is great in performance . Volte and dedicated memory card slot is present . Battery is average . Camera is good . Lots of hidden feature .
vivo v3,2,21-Oct-16,I have an issue like breaking voice and some times it will volume is automatically at zero level you can't listen any thing for few seconds. This is not a network issue .this is mobile issue.
vivo v3,5,28-Aug-17,It's handset is very powerful and smooth working...... All features is to good..... No hang...... No lang..... Very good product..... By VIVO
vivo v3,5,22-Jun-17,Osm phone but i want to sell my vivo v3 6 month older in rupee 12000
vivo v3,1,21-Aug-17,Never gave android update
vivo v3,5,15-Aug-16,"Best phone to buy at this price Two sim slots and separate sd card slot 32gb inbuild rom. Allows smooth performance. Good battery life too 1day on average use. Fun touch os is very good with a lot of gesture controls,. Phone does not lag or hang. Camera is also very good. Better phone than oppo f1, samsung j5, one plus x, moto g4, used all and then comparing. Looks and feels awesome in hand. Form factor and size perfect for one hand use. Speaker output also very loud and clear. All in all a complete package in a very good budget. Review after 15 days of use."
vivo v3,5,18-Jan-17,Really wonderful...great satisfaction with this device.
vivo v3,5,07-Oct-16,Nice in all term. Slim light weight. Camera is nice. Battery is bit less but okay. Music is most beautiful.
vivo v3,5,04-Aug-17,Pros The Performance & software of this phone are amazing ...Cons - only battery backup is low if you play online games like coc.
vivo v3,5,22-Aug-16,I use vivo v3 mobile is fantastic and superb. this mobile is very very fast and easily use this phone use this best technology.faster then fast mobile.
vivo v3,5,20-Oct-16,Amazing phone...camera is better than any phone in this price range.
vivo v3,5,10-Mar-17,Awsome Mobile Phone
vivo v3,3,20-Jan-18,All the mobile is gud there is no software upgrade. Don't by this mobile for who wants updates
vivo v3,1,04-Dec-16,Even adding the apps to whitelist installed from playstore push notifications does not comes
