"","Word","Frequency"
"1","",8
"2","a",3
"3","aa",1
"4","accepted",1
"5","according",1
"6","active",2
"7","adding",1
"8","adds",1
"9","adorable",1
"10","advanced",1
"11","after",5
"12","afternoon",1
"13","ahead",1
"14","aim",2
"15","air",1
"16","all",5
"17","allows",1
"18","also",11
"19","although",1
"20","always",1
"21","amaze",1
"22","amazing",11
"23","amazon",10
"24","and",5
"25","android",4
"26","angle",1
"27","anyhow",1
"28","anyone",1
"29","anything",2
"30","approx",1
"31","area",1
"32","as",1
"33","ass",1
"34","at",3
"35","attractive",1
"36","audio",1
"37","automatically",1
"38","available",5
"39","average",9
"40","avg",2
"41","awesome",23
"42","awesomeness",1
"43","b",1
"44","baas",1
"45","back",10
"46","backup",14
"47","bad",2
"48","band",1
"49","based",1
"50","bat",1
"51","battery",43
"52","batty",1
"53","beautiful",2
"54","because",1
"55","become",1
"56","belongs",1
"57","best",16
"58","better",7
"59","beware",1
"60","bf",1
"61","bit",3
"62","black",1
"63","blindly",1
"64","blue",1
"65","body",1
"66","bought",6
"67","box",5
"68","break",1
"69","breaking",1
"70","browser",1
"71","budget",3
"72","build",1
"73","bulls",1
"74","buoyed",1
"75","but",8
"76","buy",20
"77","buying",3
"78","bxs",1
"79","by",5
"80","call",1
"81","calling",2
"82","camera",42
"83","can",6
"84","cant",1
"85","card",5
"86","care",1
"87","careful",1
"88","cart",1
"89","case",2
"90","catching",1
"91","category",1
"92","cell",1
"93","changed",1
"94","changing",2
"95","char",1
"96","charge",7
"97","charged",3
"98","charger",2
"99","charging",4
"100","cheering",1
"101","china",2
"102","chinese",2
"103","chit",1
"104","chore",1
"105","clarity",3
"106","class",1
"107","clear",3
"108","clicking",1
"109","closed",1
"110","color",2
"111","comes",3
"112","company",4
"113","compare",1
"114","compared",1
"115","comparing",2
"116","complaint",1
"117","complete",1
"118","completely",1
"119","concern",1
"120","condition",1
"121","conditions",1
"122","cons",2
"123","continuable",1
"124","continuous",1
"125","controls",1
"126","couldn't",1
"127","cover",2
"128","cox",1
"129","cozy",1
"130","crying",1
"131","crystal",1
"132","cu",1
"133","customer",1
"134","dad",1
"135","damaged",1
"136","dart",1
"137","date",1
"138","davidson",1
"139","day",5
"140","days",8
"141","deal",4
"142","dean",1
"143","decrease",1
"144","decreases",1
"145","dedicated",1
"146","defect",1
"147","definitely",2
"148","deliver",1
"149","delivery",3
"150","design",1
"151","designed",1
"152","destroys",1
"153","deter",1
"154","device",6
"155","didn't",1
"156","direct",1
"157","directly",1
"158","disappointed",1
"159","disappointment",2
"160","discharging",1
"161","display",5
"162","dist",1
"163","doesn't",2
"164","don",1
"165","don't",5
"166","done",1
"167","dost",1
"168","doubt",1
"169","drain",1
"170","drains",1
"171","due",1
"172","duel",1
"173","e",2
"174","easily",1
"175","els",1
"176","else",1
"177","empty",1
"178","enough",3
"179","especially",1
"180","etc",1
"181","even",8
"182","ever",6
"183","every",1
"184","everyone",3
"185","everything",7
"186","excellent",9
"187","except",1
"188","expected",1
"189","experience",3
"190","extremely",1
"191","eyes",1
"192","f",1
"193","factor",1
"194","factory",1
"195","fake",1
"196","fall",1
"197","fantastic",2
"198","far",1
"199","fast",17
"200","faster",10
"201","fear",1
"202","feater",1
"203","feature",8
"204","features",14
"205","feedback",1
"206","feel",2
"207","feels",1
"208","fictions",1
"209","finally",1
"210","fine",6
"211","finger",6
"212","fingerprint",3
"213","finishing",1
"214","first",2
"215","firstly",1
"216","fixed",1
"217","flaws",1
"218","flip",2
"219","fly",1
"220","folks",1
"221","for",2
"222","form",1
"223","found",2
"224","free",1
"225","freehanded",1
"226","front",7
"227","full",2
"228","fully",1
"229","fun",3
"230","futures",1
"231","g",2
"232","gain",1
"233","games",5
"234","gave",2
"235","gb",8
"236","gesture",1
"237","gestures",1
"238","get",8
"239","getting",1
"240","gift",1
"241","give",1
"242","gives",1
"243","glass",1
"244","go",4
"245","god",1
"246","godforsaken",1
"247","goes",1
"248","going",1
"249","gold",3
"250","gone",1
"251","good",78
"252","got",5
"253","gotta",1
"254","gram",1
"255","great",10
"256","guard",1
"257","guru",1
"258","h",1
"259","haft",1
"260","hag",1
"261","ham",4
"262","hamsun",5
"263","hand",2
"264","handle",1
"265","handling",1
"266","handset",2
"267","handy",1
"268","hang",5
"269","hangs",2
"270","happy",3
"271","harley",1
"272","has",1
"273","have",1
"274","haven't",1
"275","heard",1
"276","heat",3
"277","heating",8
"278","heats",1
"279","heavy",1
"280","hence",1
"281","hey",2
"282","hf",1
"283","hi",1
"284","hidden",1
"285","hie",4
"286","high",3
"287","higher",1
"288","highly",1
"289","ho",2
"290","hog",1
"291","honda",1
"292","horrible",1
"293","hot",1
"294","hour",1
"295","hours",6
"296","hrs",2
"297","hybrid",1
"298","i",36
"299","if",2
"300","ii",1
"301","impressed",2
"302","improve",1
"303","in",4
"304","inbuilt",1
"305","inch",1
"306","included",1
"307","including",1
"308","indians",1
"309","info",1
"310","inside",1
"311","install",2
"312","installed",1
"313","instead",1
"314","internal",1
"315","internet",5
"316","invest",1
"317","is",5
"318","issue",10
